,NWL
% Above Low,0.1887
% Held by Institutions,0.8862000000000001
52-Wk Range,['10.44 - 20.99']
Annual Dividend $,0.92
Annual Dividend %,0.0741
Ask,12.47
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,12.35
Bid Size,500.0
Closing Price,12.41
Day Change $,0.37
Day Change %,0.030699999999999998
Day High,12.49
Day Low,12.06
Dividend Pay Date,2020-03-13 00:00:00
"EPS (TTM, GAAP)",-2.41
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.55
Last (size),1000.0
Last (time),3:59p ET 05/08/20
Market Cap,5.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.04
Short Interest,0.0461
Today's Open,12.23
Volume,2591846.0
Volume 10-day Avg,4094605.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.6911196911196911
Growth 1yr High Est,-0.5054545454545454
Growth 1yr Consensus Est,-0.5982871182871182
Growth 2yr Low Est,-0.09555984555984565
Growth 2yr High Est,-0.1644919786096256
Growth 2yr Consensus Est,-0.13002591208473563
Growth 5yr Low Est,-0.05972845219168757
Growth 5yr High Est,-0.0822459893048128
Growth 5yr Consensus Est,-0.0709872207482502
Growth 5yr Actual/Est,-0.1340898632414178
Growth 3yr Historic,-0.09778154681139756
Price/Earnings (TTM),
Price/Sales (TTM),0.55059
Price/Book (MRQ),1.52376
Price/Cash Flow (TTM),
5yr Low,10.44
5yr High,55.45
5yr Avg Return,-0.14713333333333334
EPS Growth 5yr,-0.1997582
Revenue Growth 5yr,0.1114815
Dividend Growth 5yr,0.0686827
Short Int Current Month,19366926.0
Short Int Prev Month,18877202.0
Short Int Pct of Float,0.046130000000000004
Days to Cover,5.93293
Float,420.3148
Shares Outstanding,424.1
Institutions Holding Shares,731.0
FCF Growth 5yr,0.644583553752575
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33280000000000004
Operating Profit Margin (TTM),-0.20190000000000002
Net Profit Margin (TTM),-0.1066
Annual Dividend Yield,0.0741
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0658
EPS Growth (MRQ),-3.3114999999999997
EPS Growth (TTM),0.8295
Revenue Growth (MRQ),-0.3663
Revenue Growth (TTM),-0.07940000000000001
Return On Equity (TTM),-0.2425
Return On Assets (TTM),-0.0637
Return On Investment (TTM),-0.0801
Revenue Per Employee (TTM),318630.0
Total Debt/Total Capital (MRQ),0.6335000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),1.1
newConstructs,4
researchTeam,reduce
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,sell
creditSuisse,
newConstructs since,2020-05-09 00:00:00
researchTeam since,2020-04-24 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-02 00:00:00
theStreet since,2020-05-04 00:00:00
creditSuisse since,
