,NWS
% Above Low,0.4286
% Held by Institutions,
52-Wk Range,['7.88 - 15.36']
Annual Dividend $,0.2
Annual Dividend %,0.020099999999999996
Ask,15.0
Ask Size,1200.0
B/A Ratio,3.75
B/A Size,4500x1200
Beta,
Bid,11.24
Bid Size,4500.0
Closing Price,11.25
Day Change $,1.32
Day Change %,0.1329
Day High,11.39
Day Low,10.26
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.46299999999999997
Last (size),20.0
Last (time),3:59p ET 05/08/20
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,9.93
Shares Outstanding,588.3M
Short Interest,
Today's Open,10.26
Volume,642843.0
Volume 10-day Avg,619351.0
Volume Past Day,(Average)
