,O
% Above Low,0.4437
% Held by Institutions,0.7187
52-Wk Range,['38.00 - 84.92']
Annual Dividend $,2.8
Annual Dividend %,0.051399999999999994
Ask,55.73
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,54.7
Bid Size,100.0
Closing Price,54.86
Day Change $,0.45
Day Change %,0.0083
Day High,56.09
Day Low,54.09
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.45
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.568
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,18.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",37.53
Prev Close,54.41
Short Interest,0.0263
Today's Open,55.31
Volume,2467637.0
Volume 10-day Avg,3067580.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.13114754098360648
Growth 1yr High Est,1.6074074074074072
Growth 1yr Consensus Est,0.8692774741955068
Growth 2yr Low Est,0.0764433357091946
Growth 2yr High Est,0.8264309764309763
Growth 2yr Consensus Est,0.45143715607008544
Growth 5yr Low Est,0.04825219670585871
Growth 5yr High Est,0.5559665156156384
Growth 5yr Consensus Est,0.3021093561607486
Growth 5yr Actual/Est,0.13975836756946197
Growth 3yr Historic,0.0601731601731601
Price/Earnings (TTM),37.52517
Price/Sales (TTM),12.04284
Price/Book (MRQ),1.79866
Price/Cash Flow (TTM),17.07321
5yr Low,38.0
5yr High,84.92
5yr Avg Return,0.03831666666666667
EPS Growth 5yr,0.0608796
Revenue Growth 5yr,0.09826370000000001
Dividend Growth 5yr,0.043414400000000006
Short Int Current Month,9028766.0
Short Int Prev Month,8125221.0
Short Int Pct of Float,0.0263487
Days to Cover,2.31797
Float,342.8804
Shares Outstanding,343.416
Institutions Holding Shares,1032.0
FCF Growth 5yr,0.556527918197356
"Price/Earnings (TTM, GAAP)",37.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9403
Operating Profit Margin (TTM),0.27
Net Profit Margin (TTM),0.30510000000000004
Annual Dividend Yield,0.051
Dividend Change %,0.0304
"Dividend Growth Rate, 3 Years",0.0426
EPS Growth (MRQ),0.10880000000000001
EPS Growth (TTM),0.0919
Revenue Growth (MRQ),0.042300000000000004
Revenue Growth (TTM),0.1376
Return On Equity (TTM),0.0514
Return On Assets (TTM),0.027400000000000004
Return On Investment (TTM),0.0281
Revenue Per Employee (TTM),7997768.0
Total Debt/Total Capital (MRQ),0.41990000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.65
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,4
theStreet,hold
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-08-07 00:00:00
theStreet since,2020-04-17 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,
