,OKE
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.05693950177935947
Growth 1yr High Est,-0.04716981132075482
Growth 1yr Consensus Est,-0.05205465655005714
Growth 2yr Low Est,-0.1284697508896797
Growth 2yr High Est,-0.005433090478859204
Growth 2yr Consensus Est,-0.06695142068426946
Growth 5yr Low Est,0.20718957985399117
Growth 5yr High Est,0.17285864586024496
Growth 5yr Consensus Est,0.19002411285711807
Growth 5yr Actual/Est,0.16006773474040617
Growth 3yr Historic,0.17096550032701108
