,OKE
% Above Low,1.5765
% Held by Institutions,0.7314
52-Wk Range,['12.16 - 78.48']
Annual Dividend $,3.74
Annual Dividend %,0.1257
Ask,31.56
Ask Size,20000.0
B/A Ratio,0.055
B/A Size,1100x20000
Beta,2.1
Bid,31.0
Bid Size,1100.0
Closing Price,31.33
Day Change $,1.58
Day Change %,0.053099999999999994
Day High,31.52
Day Low,30.21
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.871
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.31
Prev Close,29.75
Shares Outstanding,413.9M
Short Interest,0.0356
Today's Open,30.44
Volume,5074262.0
Volume 10-day Avg,6076673.0
Volume Past Day,(Below Average)
