,ORCL
Next Earnings Announcement,2020-06-18 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,0.08259587020648951
Growth 1yr High Est,0.14367816091954033
Growth 1yr Consensus Est,0.11313701556301492
Growth 2yr Low Est,0.046747526383898674
Growth 2yr High Est,0.1308843065904235
Growth 2yr Consensus Est,0.08881591648716108
Growth 5yr Low Est,0.09660189165263594
Growth 5yr High Est,0.138581144983618
Growth 5yr Consensus Est,0.11759151831812698
Growth 5yr Actual/Est,0.10965292559041373
Growth 3yr Historic,0.06672281489799736
