,ORLY
% Below High,0.114
% Held by Institutions,0.8581
52-Wk Range,['251.52 - 454.31']
Annual Dividend $,
Annual Dividend %,
Ask,406.97
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.0
Bid,397.97
Bid Size,500.0
Closing Price,402.51
Day Change $,16.06
Day Change %,0.0416
Day High,405.35
Day Low,393.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",17.81
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,29.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.6
Prev Close,386.45
Shares Outstanding,74.2M
Short Interest,0.019799999999999998
Today's Open,394.13
Volume,641381.0
Volume 10-day Avg,668056.0
Volume Past Day,(Average)
