,PAYC
% Below High,0.2046
% Held by Institutions,0.7573000000000001
52-Wk Range,['163.42 - 342.00']
Annual Dividend $,
Annual Dividend %,
Ask,279.88
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,265.5
Bid Size,100.0
Closing Price,272.03
Day Change $,3.21
Day Change %,0.011899999999999999
Day High,275.94
Day Low,266.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.36
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,15.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",80.98
Prev Close,268.82
Short Interest,0.0722
Today's Open,273.62
Volume,673111.0
Volume 10-day Avg,1011821.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.08235294117647052
Growth 1yr High Est,0.1482558139534884
Growth 1yr Consensus Est,0.03295143638850895
Growth 2yr Low Est,0.13510558069381595
Growth 2yr High Est,0.20703929938180743
Growth 2yr Consensus Est,0.1710724400378117
Growth 5yr Low Est,0.42140039859043227
Growth 5yr High Est,0.4430588884331735
Growth 5yr Consensus Est,0.4322296435118029
Growth 5yr Actual/Est,0.41175737439271654
Growth 3yr Historic,0.3411768942667819
Price/Earnings (TTM),80.97505
Price/Sales (TTM),20.42278
Price/Book (MRQ),26.13409
Price/Cash Flow (TTM),65.39501
5yr Low,22.42
5yr High,342.0
5yr Avg Return,0.4595500000000001
EPS Growth 5yr,0.9515239
Revenue Growth 5yr,0.3734663
Dividend Growth 5yr,
Short Int Current Month,3560780.0
Short Int Prev Month,3614568.0
Short Int Pct of Float,0.0722298
Days to Cover,2.88254
Float,49.09428
Shares Outstanding,58.56608
Institutions Holding Shares,707.0
FCF Growth 5yr,0.4429714173150794
"Price/Earnings (TTM, GAAP)",80.98
"PEG Ratio (TTM, GAAP)",4.11
Gross Profit Margin (TTM),0.8584
Operating Profit Margin (TTM),0.3243
Net Profit Margin (TTM),0.2516
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.38689999999999997
EPS Growth (TTM),0.37070000000000003
Revenue Growth (MRQ),0.2531
Revenue Growth (TTM),0.27390000000000003
Return On Equity (TTM),0.3932
Return On Assets (TTM),0.0898
Return On Investment (TTM),0.2823
Revenue Per Employee (TTM),207197.0
Total Debt/Total Capital (MRQ),0.051
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,buy
ford,3
cfra,
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2017-04-18 00:00:00
ford since,2019-12-06 00:00:00
cfra since,
creditSuisse since,2020-04-23 00:00:00
