,PEAK
% Above Low,0.3017
% Held by Institutions,1.0105
52-Wk Range,['18.63 - 37.93']
Annual Dividend $,1.48
Annual Dividend %,0.06309999999999999
Ask,24.6
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,22.93
Bid Size,100.0
Closing Price,24.25
Day Change $,0.8
Day Change %,0.0341
Day High,24.43
Day Low,23.38
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.53
Last (size),82200.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
"P/E Ratio (TTM, GAAP)",48.38
Prev Close,23.45
Shares Outstanding,538.3M
Short Interest,0.015
Today's Open,23.69
Volume,2662935.0
Volume 10-day Avg,4131317.0
Volume Past Day,(Light)
