,PG
Price/Earnings (TTM),61.48454
Price/Sales (TTM),4.08056
Price/Book (MRQ),6.43035
Price/Cash Flow (TTM),36.62296
5yr Low,65.02
5yr High,128.09
5yr Avg Return,0.07546666666666667
EPS Growth 5yr,-0.1577397
Revenue Growth 5yr,-0.018746
Dividend Growth 5yr,0.0342817
Short Int Current Month,18029010.0
Short Int Prev Month,20153201.0
Short Int Pct of Float,0.0073097
Days to Cover,1.7498
Float,2472.947
Shares Outstanding,2475.643
Institutions Holding Shares,3314.0
% Held by Institutions,0.622561
FCF Growth 5yr,0.028949886146026893
