,PG
% Below High,0.09480000000000001
% Held by Institutions,0.6225999999999999
52-Wk Range,['94.34 - 128.09']
Annual Dividend $,3.16
Annual Dividend %,0.0282
Ask,116.25
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,0.4
Bid,115.96
Bid Size,300.0
Closing Price,115.95
Day Change $,3.78
Day Change %,0.0337
Day High,116.3
Day Low,113.39
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2020-04-23 00:00:00
Ex-dividend Date,04/23/20
Historical Volatility,0.32799999999999996
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,287.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",61.48
Prev Close,112.17
Shares Outstanding,2.5B
Short Interest,0.0073
Today's Open,113.52
Volume,9283095.0
Volume 10-day Avg,8767922.0
Volume Past Day,(Average)
