,PGR
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.09251968503937014
Growth 1yr High Est,0.42184557438794723
Growth 1yr Consensus Est,0.2571826297136587
Growth 2yr Low Est,-0.041127544867702315
Growth 2yr High Est,0.11489629712774846
Growth 2yr Consensus Est,0.03688437613002307
Growth 5yr Low Est,0.260518558740987
Growth 5yr High Est,0.3110824638773114
Growth 5yr Consensus Est,0.28580051130914924
Growth 5yr Actual/Est,0.27829856242192963
Growth 3yr Historic,0.26152505814842536
