,PH
% Below High,0.2544
% Held by Institutions,0.815
52-Wk Range,['93.00 - 215.94']
Annual Dividend $,3.52
Annual Dividend %,0.0226
Ask,170.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,158.36
Bid Size,100.0
Closing Price,161.0
Day Change $,5.01
Day Change %,0.0321
Day High,162.63
Day Low,157.64
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",10.19
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.5670000000000001
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,20.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.8
Prev Close,155.99
Short Interest,0.02
Today's Open,158.79
Volume,1488958.0
Volume 10-day Avg,1540333.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.20749782040104625
Growth 1yr High Est,-0.11965811965811957
Growth 1yr Consensus Est,-0.1635779700295829
Growth 2yr Low Est,-0.18845738104760784
Growth 2yr High Est,-0.0035183802174093004
Growth 2yr Consensus Est,-0.09598788063250857
Growth 5yr Low Est,0.010900071558621743
Growth 5yr High Est,0.10398843647357384
Growth 5yr Consensus Est,0.05744425401609779
Growth 5yr Actual/Est,0.04985537919256458
Growth 3yr Historic,0.10551740582347802
Price/Earnings (TTM),15.79537
Price/Sales (TTM),1.45206
Price/Book (MRQ),3.27875
Price/Cash Flow (TTM),11.33556
5yr Low,83.32
5yr High,215.94
5yr Avg Return,0.0992
EPS Growth 5yr,0.11005530000000001
Revenue Growth 5yr,0.0161803
Dividend Growth 5yr,0.1118209
Short Int Current Month,2553536.0
Short Int Prev Month,1809720.0
Short Int Pct of Float,0.0199894
Days to Cover,1.98641
Float,127.6173
Shares Outstanding,128.2174
Institutions Holding Shares,973.0
FCF Growth 5yr,0.06528952864731434
"Price/Earnings (TTM, GAAP)",15.8
"PEG Ratio (TTM, GAAP)",4.61
Gross Profit Margin (TTM),0.25129999999999997
Operating Profit Margin (TTM),0.1164
Net Profit Margin (TTM),0.0932
Annual Dividend Yield,0.0219
Dividend Change %,0.1533
"Dividend Growth Rate, 3 Years",0.0784
EPS Growth (MRQ),0.8064
EPS Growth (TTM),-0.0922
Revenue Growth (MRQ),0.058499999999999996
Revenue Growth (TTM),-0.0166
Return On Equity (TTM),0.2152
Return On Assets (TTM),0.0739
Return On Investment (TTM),0.0926
Revenue Per Employee (TTM),255644.0
Total Debt/Total Capital (MRQ),0.5915
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),9.52
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,4
theStreet,hold
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-04-28 00:00:00
theStreet since,2020-03-26 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2009-10-20 00:00:00
