,PH
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.20749782040104625
Growth 1yr High Est,-0.11965811965811957
Growth 1yr Consensus Est,-0.1635779700295829
Growth 2yr Low Est,-0.18845738104760784
Growth 2yr High Est,-0.0035183802174093004
Growth 2yr Consensus Est,-0.09598788063250857
Growth 5yr Low Est,0.010900071558621743
Growth 5yr High Est,0.10398843647357384
Growth 5yr Consensus Est,0.05744425401609779
Growth 5yr Actual/Est,0.04985537919256458
Growth 3yr Historic,0.10551740582347802
