,PHM
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.33045977011494254
Growth 1yr High Est,-0.04432132963988911
Growth 1yr Consensus Est,-0.18739054987741582
Growth 2yr Low Est,-0.24462902668837255
Growth 2yr High Est,0.006824842426432165
Growth 2yr Consensus Est,-0.1189020921309702
Growth 5yr Low Est,0.0738393328096599
Growth 5yr High Est,0.18940275937746728
Growth 5yr Consensus Est,0.13162104609356362
Growth 5yr Actual/Est,0.15045225673395102
Growth 3yr Historic,0.18857172159168606
