,PKG
Price/Earnings (TTM),14.29941
Price/Sales (TTM),1.34133
Price/Book (MRQ),2.95364
Price/Cash Flow (TTM),8.91473
5yr Low,44.32
5yr High,131.13
5yr Avg Return,0.10246666666666668
EPS Growth 5yr,0.1301263
Revenue Growth 5yr,0.0353942
Dividend Growth 5yr,0.1458121
Short Int Current Month,1711380.0
Short Int Prev Month,1793209.0
Short Int Pct of Float,0.0183785
Days to Cover,1.78232
Float,93.1857
Shares Outstanding,94.84278
Institutions Holding Shares,783.0
% Held by Institutions,0.902357
FCF Growth 5yr,0.13450670562453343
