,PM
Price/Earnings (TTM),14.67217
Price/Sales (TTM),3.7115
Price/Book (MRQ),
Price/Cash Flow (TTM),12.27697
5yr Low,56.01
5yr High,123.55
5yr Avg Return,-0.0003333333333333263
EPS Growth 5yr,-0.0066556
Revenue Growth 5yr,0.0002552
Dividend Growth 5yr,0.0374086
Short Int Current Month,10828904.0
Short Int Prev Month,8398517.0
Short Int Pct of Float,0.0069726
Days to Cover,1.81567
Float,1553.659
Shares Outstanding,1557.13
Institutions Holding Shares,2180.0
% Held by Institutions,0.7307210000000001
FCF Growth 5yr,0.061452464276251687
