,PM
% Above Low,0.28550000000000003
% Held by Institutions,0.7306999999999999
52-Wk Range,['56.01 - 90.17']
Annual Dividend $,4.68
Annual Dividend %,0.0667
Ask,72.49
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,0.8
Bid,72.0
Bid Size,500.0
Closing Price,72.0
Day Change $,1.86
Day Change %,0.0265
Day High,72.43
Day Low,71.31
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",4.91
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.399
Last (size),170.0
Last (time),6:30p ET 05/08/20
Market Cap,112.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.67
Prev Close,70.14
Shares Outstanding,1.6B
Short Interest,0.006999999999999999
Today's Open,71.49
Volume,5573860.0
Volume 10-day Avg,5475794.0
Volume Past Day,(Average)
