,PNC
% Above Low,0.3226
% Held by Institutions,0.8161
52-Wk Range,['79.41 - 161.79']
Annual Dividend $,4.6
Annual Dividend %,0.0454
Ask,106.1
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,1.3
Bid,105.03
Bid Size,600.0
Closing Price,105.03
Day Change $,3.74
Day Change %,0.0369
Day High,105.48
Day Low,103.11
Dividend Pay Date,2020-05-05 00:00:00
"EPS (TTM, GAAP)",10.75
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.506
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,44.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.77
Prev Close,101.29
Shares Outstanding,424.3M
Short Interest,0.0116
Today's Open,104.17
Volume,1330885.0
Volume 10-day Avg,2019549.0
Volume Past Day,(Light)
