,PNW
Next Earnings Announcement,
Growth Analysts,14.0
Growth 1yr Low Est,-0.03913043478260869
Growth 1yr High Est,0.04742268041237119
Growth 1yr Consensus Est,0.004146122814881248
Growth 2yr Low Est,0.027946094825890166
Growth 2yr High Est,0.05816015910382333
Growth 2yr Consensus Est,0.04305312696485675
Growth 5yr Low Est,0.03728096608603226
Growth 5yr High Est,0.05951326641925042
Growth 5yr Consensus Est,0.04839711625264134
Growth 5yr Actual/Est,0.04228412171541962
Growth 3yr Historic,0.023584738467770483
