,2015,2016,2017,2018,2019,2020,Report
high,118.69,117.0,119.85,122.07,134.36,134.16,
low,82.93,88.37,94.57,94.37,96.82,69.77,
change,-0.1352,-0.0258,0.2241,-0.1261,0.32130000000000003,-0.3134,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1311.0,1820.0,1436.0,902.0,1216.0,,Balance Sheet
Short Term Investments,144.0,43.0,55.0,61.0,57.0,,Balance Sheet
Cash and Short Term Invs,1455.0,1863.0,1491.0,963.0,1273.0,,Balance Sheet
"Trade Accts Recvble, Gross",2755.0,2690.0,2928.0,2869.0,2778.0,,Balance Sheet
Prov. for Doubtful Accts,-46.0,-36.0,-25.0,-24.0,-22.0,,Balance Sheet
"Total Receivables, Net",2709.0,2654.0,2903.0,2845.0,2756.0,,Balance Sheet
Invent. - Finished Goods,1055.0,947.0,1083.0,1105.0,1047.0,,Balance Sheet
Invent. - Work In Progress,161.0,165.0,177.0,193.0,197.0,,Balance Sheet
Invent. - Raw Materials,402.0,370.0,437.0,452.0,431.0,,Balance Sheet
Inventories - Other,41.0,32.0,33.0,33.0,35.0,,Balance Sheet
Total Inventory,1659.0,1514.0,1730.0,1783.0,1710.0,,Balance Sheet
Discont. Ops.-Curr. Assets,285.0,223.0,0.0,,,,Balance Sheet
Other Current Assets,604.0,320.0,353.0,370.0,431.0,,Balance Sheet
"Other Curr. Assets, Total",889.0,543.0,353.0,370.0,431.0,,Balance Sheet
Total Current Assets,6712.0,6574.0,6477.0,5961.0,6170.0,,Balance Sheet
Buildings,,,1488.0,1472.0,1573.0,,Balance Sheet
Land/Improvements,,,487.0,489.0,511.0,,Balance Sheet
Machinery/Equipment,,,3432.0,3387.0,3575.0,,Balance Sheet
Construction in Progress,,,229.0,296.0,314.0,,Balance Sheet
Other Prop./Plant/Equip.,6749.0,6006.0,958.0,989.0,1874.0,,Balance Sheet
Prop./Plant/Equip. - Gross,6749.0,6006.0,6594.0,6633.0,7847.0,,Balance Sheet
Accumulated Depreciation,-3927.0,-3398.0,-3770.0,-3828.0,-4082.0,,Balance Sheet
Prop./Plant/Equip. - Net,2822.0,2608.0,2824.0,2805.0,3765.0,,Balance Sheet
"Goodwill, Net",3669.0,3572.0,3942.0,4070.0,4470.0,,Balance Sheet
Intangibles - Gross,3260.0,3146.0,3418.0,3418.0,3716.0,,Balance Sheet
Accum. Intangible Amort.,-1082.0,-1163.0,-1373.0,-1446.0,-1585.0,,Balance Sheet
Intangibles - Net,2178.0,1983.0,2045.0,1972.0,2131.0,,Balance Sheet
LT Invt. - Affiliate Comp.,,,135.0,132.0,129.0,,Balance Sheet
LT Investments - Other,367.0,179.0,268.0,251.0,258.0,,Balance Sheet
Long Term Investments,367.0,179.0,403.0,383.0,387.0,,Balance Sheet
Other Long Term Assets,617.0,669.0,542.0,595.0,565.0,,Balance Sheet
Total Assets,17076.0,15769.0,16538.0,16015.0,17708.0,,Balance Sheet
Accounts Payable,,,2321.0,2177.0,2098.0,,Balance Sheet
Payable/Accrued,3419.0,3460.0,,,,,Balance Sheet
Accrued Expenses,,,441.0,424.0,625.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,4.0,10.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,281.0,629.0,12.0,647.0,503.0,,Balance Sheet
Income Taxes Payable,,,100.0,112.0,46.0,,Balance Sheet
Discontinued Operations,112.0,64.0,0.0,,,,Balance Sheet
Other Current Liabilities,883.0,100.0,1020.0,1009.0,1093.0,,Balance Sheet
"Other Curr. Lblts, Total",995.0,164.0,1120.0,1121.0,1139.0,,Balance Sheet
Total Current Liabilities,4695.0,4253.0,3894.0,4373.0,4375.0,,Balance Sheet
Total Long Term Debt,4026.0,3787.0,4134.0,4365.0,4539.0,,Balance Sheet
Total Debt,4307.0,4416.0,4146.0,5016.0,5052.0,,Balance Sheet
Deferred Income Tax,460.0,417.0,442.0,429.0,452.0,,Balance Sheet
Minority Interest,86.0,87.0,115.0,102.0,119.0,,Balance Sheet
Pension Benefits - Underfunded,1710.0,1464.0,1428.0,1274.0,1406.0,,Balance Sheet
Other LT Liabilities,1116.0,935.0,967.0,842.0,1533.0,,Balance Sheet
"Other Liabilities, Total",2826.0,2399.0,2395.0,2116.0,2939.0,,Balance Sheet
Total Liabilities,12093.0,10943.0,10980.0,11385.0,12424.0,,Balance Sheet
Common Stock,969.0,969.0,969.0,969.0,969.0,,Balance Sheet
Additional Paid-In Capital,635.0,701.0,756.0,788.0,950.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),15521.0,15984.0,17141.0,18131.0,18906.0,,Balance Sheet
Treasury Stock - Common,-9440.0,-10472.0,-11251.0,-12958.0,-13191.0,,Balance Sheet
Unrealized Gain (Loss),9.0,,3.0,2.0,1.0,,Balance Sheet
Cum. Trans. Adjustment,-1332.0,,-1567.0,-1734.0,-1627.0,,Balance Sheet
Min. Pension Lblty Adj.,-1379.0,,-493.0,-568.0,-724.0,,Balance Sheet
Other Comprehensive Income,,-2356.0,,,,,Balance Sheet
"Other Equity, Total",-2711.0,-2356.0,-2060.0,-2302.0,-2351.0,,Balance Sheet
Total Equity,4983.0,4826.0,5558.0,4630.0,5284.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,17076.0,15769.0,16538.0,16015.0,17708.0,,Balance Sheet
Ttl Comm. Shares Outs.,267.0,257.0,251.0,236.0,236.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,314.0,324.0,330.0,345.0,345.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,14241.0,14270.0,14748.0,15374.0,15146.0,,Income Statement
"Cost of Revenue, Total",7786.0,7693.0,8207.0,9001.0,8619.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",3584.0,3581.0,3564.0,3573.0,3638.0,,Income Statement
Research & Development,466.0,459.0,453.0,418.0,408.0,,Income Statement
Depreciation,314.0,319.0,331.0,377.0,399.0,,Income Statement
Amortiz of Intangibles,132.0,121.0,129.0,143.0,136.0,,Income Statement
Depreciation/Amortization,446.0,440.0,460.0,520.0,535.0,,Income Statement
Restructuring Charge,136.0,195.0,0.0,66.0,176.0,,Income Statement
Litigation,12.0,5.0,0.0,0.0,,,Income Statement
Other Unusual Expnse (In),0.0,968.0,60.0,0.0,,,Income Statement
Unusual Expense (Income),148.0,1168.0,60.0,66.0,176.0,,Income Statement
"Other Operat Expse, Total",,,,64.0,77.0,,Income Statement
Total Operating Expense,12430.0,13341.0,12744.0,13642.0,13453.0,,Income Statement
Total Operating Income,1811.0,929.0,2004.0,1732.0,1693.0,,Income Statement
"Inter Expse,Net Non-Operat",-125.0,-125.0,-105.0,-102.0,-111.0,,Income Statement
"Inter Income, Non-Operating",39.0,26.0,20.0,23.0,32.0,,Income Statement
"Invest Income, Non-Operat",-7.0,-9.0,-7.0,-63.0,-23.0,,Income Statement
"Inter/Invest Inc, Non-Oper",32.0,17.0,13.0,-40.0,9.0,,Income Statement
OtherNon-OperatInc (Expnse),27.0,-35.0,93.0,103.0,70.0,,Income Statement
"Other, Net",27.0,-35.0,93.0,103.0,70.0,,Income Statement
Income Before Tax,1745.0,786.0,2005.0,1693.0,1661.0,,Income Statement
Income Tax - Total,413.0,217.0,481.0,366.0,392.0,,Income Statement
Income After Tax,1332.0,569.0,1524.0,1327.0,1269.0,,Income Statement
Minority Interest,-21.0,-22.0,-21.0,-17.0,-26.0,,Income Statement
Net Inc Before Extra Items,1311.0,547.0,1503.0,1310.0,1243.0,,Income Statement
Discontinued Operations,137.0,532.0,365.0,23.0,0.0,,Income Statement
Extraordinary Item,,,-134.0,13.0,0.0,,Income Statement
Tax on Extraordinary Items,-42.0,-202.0,-140.0,-5.0,,,Income Statement
Total Extraordinary Items,95.0,330.0,91.0,31.0,0.0,,Income Statement
Total Net Income,1406.0,877.0,1594.0,1341.0,1243.0,,Income Statement
Income Available to Common Excl. Extra. Items,1311.0,547.0,1503.0,1310.0,1243.0,,Income Statement
Income Available to Common Incl. Extra. Items,1406.0,877.0,1594.0,1341.0,1243.0,,Income Statement
Basic/Primary Weighted Average Shares,271.0,266.0,256.0,244.0,237.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,4.83,2.06,5.87,5.37,5.25,,Income Statement
Basic/Primary EPS Incl. Extra. Items,5.18,3.3,6.22,5.5,5.25,,Income Statement
Diluted Weighted Average Shares,274.0,267.0,258.0,245.0,238.0,,Income Statement
Diluted EPS Excl. Extra. Items,4.79,2.05,5.83,5.34,5.22,,Income Statement
Diluted EPS Incl. Extra. Items,5.14,3.28,6.18,5.46,5.22,,Income Statement
Div/Share-ComStockPrimIssue,1.42,1.56,1.7,1.86,1.98,,Income Statement
Gross Divid - Common Stock,383.0,414.0,434.0,453.0,468.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",125.0,125.0,105.0,102.0,111.0,,Income Statement
