,PPL
% Above Low,0.44090000000000007
% Held by Institutions,0.6798000000000001
52-Wk Range,['18.12 - 36.83']
Annual Dividend $,1.66
Annual Dividend %,0.0683
Ask,26.3
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,25.74
Bid Size,200.0
Closing Price,26.11
Day Change $,1.82
Day Change %,0.07490000000000001
Day High,26.26
Day Low,24.78
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.37
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.424
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,20.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.0
Prev Close,24.29
Short Interest,0.0116
Today's Open,24.9
Volume,6217482.0
Volume 10-day Avg,4773130.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,14.0
Growth 1yr Low Est,-0.012605042016806678
Growth 1yr High Est,0.012096774193548265
Growth 1yr Consensus Est,-0.0002541339116292063
Growth 2yr Low Est,0.004335776863937046
Growth 2yr High Est,0.01003245084179405
Growth 2yr Consensus Est,0.007184113852865548
Growth 5yr Low Est,0.028534415961286752
Growth 5yr High Est,0.03607683148150309
Growth 5yr Consensus Est,0.03230562372139492
Growth 5yr Actual/Est,0.022895408163265296
Growth 3yr Historic,0.021875000000000033
Price/Earnings (TTM),11.00063
Price/Sales (TTM),2.58169
Price/Book (MRQ),1.54203
Price/Cash Flow (TTM),6.62828
5yr Low,18.12
5yr High,40.2
5yr Avg Return,-0.028066666666666663
EPS Growth 5yr,0.0188129
Revenue Growth 5yr,-0.0021231
Dividend Growth 5yr,0.020985999999999998
Short Int Current Month,8903226.0
Short Int Prev Month,7655704.0
Short Int Pct of Float,0.0115978
Days to Cover,1.50065
Float,767.657
Shares Outstanding,768.1797
Institutions Holding Shares,1075.0
FCF Growth 5yr,4.128685688975472
"Price/Earnings (TTM, GAAP)",11.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36560000000000004
Net Profit Margin (TTM),0.22469999999999998
Annual Dividend Yield,0.0636
Dividend Change %,0.0138
"Dividend Growth Rate, 3 Years",0.0278
EPS Growth (MRQ),-0.25579999999999997
EPS Growth (TTM),-0.0795
Revenue Growth (MRQ),0.010900000000000002
Revenue Growth (TTM),-0.0021
Return On Equity (TTM),0.1417
Return On Assets (TTM),0.0392
Return On Investment (TTM),0.043899999999999995
Revenue Per Employee (TTM),632655.0
Total Debt/Total Capital (MRQ),0.6395000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),2.18
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,4
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-02 00:00:00
cfra since,2020-04-25 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
