,PRU
% Above Low,0.5272
% Held by Institutions,0.6539
52-Wk Range,['38.62 - 103.56']
Annual Dividend $,4.4
Annual Dividend %,0.0776
Ask,59.25
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,59.0
Bid Size,100.0
Closing Price,58.98
Day Change $,2.26
Day Change %,0.0398
Day High,59.04
Day Low,57.23
Dividend Pay Date,2020-03-12 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-02-14 00:00:00
Ex-dividend Date,02/14/20
Historical Volatility,0.598
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,23.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,56.72
Short Interest,0.0217
Today's Open,58.12
Volume,1996374.0
Volume 10-day Avg,2924811.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2812777284826974
Growth 1yr High Est,-0.05966386554621861
Growth 1yr Consensus Est,-0.170470797014458
Growth 2yr Low Est,0.01923767896852785
Growth 2yr High Est,0.04255412620812399
Growth 2yr Consensus Est,0.03089590258832592
Growth 5yr Low Est,0.0318921826027013
Growth 5yr High Est,0.05124584482214398
Growth 5yr Consensus Est,0.04156901371242264
Growth 5yr Actual/Est,0.03299234618449562
Growth 3yr Historic,0.02622873345935728
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.38737
Price/Cash Flow (TTM),
5yr Low,38.62
5yr High,127.14
5yr Avg Return,-0.02358333333333333
EPS Growth 5yr,0.2582199
Revenue Growth 5yr,0.037548
Dividend Growth 5yr,0.1301083
Short Int Current Month,8584620.0
Short Int Prev Month,7332338.0
Short Int Pct of Float,0.02174
Days to Cover,2.29393
Float,394.3113
Shares Outstanding,396.044
Institutions Holding Shares,1309.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,0.0746
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.1262
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.2816
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
creditSuisse,neutral
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-07 00:00:00
theStreet since,2020-03-10 00:00:00
creditSuisse since,2018-04-24 00:00:00
ford since,2020-02-28 00:00:00
