,PRU
% Above Low,0.5272
% Held by Institutions,0.6539
52-Wk Range,['38.62 - 103.56']
Annual Dividend $,4.4
Annual Dividend %,0.0776
Ask,59.25
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,59.0
Bid Size,100.0
Closing Price,58.98
Day Change $,2.26
Day Change %,0.0398
Day High,59.04
Day Low,57.23
Dividend Pay Date,2020-03-12 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-02-14 00:00:00
Ex-dividend Date,02/14/20
Historical Volatility,0.598
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,23.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,56.72
Shares Outstanding,393.8M
Short Interest,0.0217
Today's Open,58.12
Volume,1996374.0
Volume 10-day Avg,2924811.0
Volume Past Day,(Light)
