,PSX
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-1.1689785624211855
Growth 1yr High Est,-0.29561200923787534
Growth 1yr Consensus Est,-0.7322952858295304
Growth 2yr Low Est,-2.215086296135966
Growth 2yr High Est,0.11530874947942304
Growth 2yr Consensus Est,-1.0498887733282714
Growth 5yr Low Est,-0.8740065627021292
Growth 5yr High Est,0.29858407995513103
Growth 5yr Consensus Est,-0.28771124137349907
Growth 5yr Actual/Est,0.5887765882510378
Growth 3yr Historic,0.340240652137462
