,PSX
Price/Earnings (TTM),98.15435
Price/Sales (TTM),0.32244
Price/Book (MRQ),1.5745
Price/Cash Flow (TTM),16.22476
5yr Low,40.04
5yr High,123.97
5yr Avg Return,0.010166666666666668
EPS Growth 5yr,-0.0062797999999999994
Revenue Growth 5yr,-0.0779464
Dividend Growth 5yr,0.1311527
Short Int Current Month,5943186.0
Short Int Prev Month,6072214.0
Short Int Pct of Float,0.013619000000000001
Days to Cover,1.50326
Float,436.3158
Shares Outstanding,436.6747
Institutions Holding Shares,1728.0
% Held by Institutions,0.6723680000000001
FCF Growth 5yr,2.366726527899489
