,PVH
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.4782608695652173
Growth 1yr High Est,-0.3172268907563025
Growth 1yr Consensus Est,-0.8977438801607599
Growth 2yr Low Est,-1.5162922973103248
Growth 2yr High Est,0.03369424692954104
Growth 2yr Consensus Est,-0.7412990251903919
Growth 5yr Low Est,-0.7055052823092832
Growth 5yr High Est,0.06866000875266229
Growth 5yr Consensus Est,-0.31842263677831045
Growth 5yr Actual/Est,0.3439126662875438
Growth 3yr Historic,0.050704502518891637
