,PVH
Price/Earnings (TTM),8.28734
Price/Sales (TTM),0.32945
Price/Book (MRQ),0.57247
Price/Cash Flow (TTM),4.41809
5yr Low,28.4
5yr High,169.22
5yr Avg Return,-0.04876666666666666
EPS Growth 5yr,0.011994
Revenue Growth 5yr,0.037547199999999996
Dividend Growth 5yr,
Short Int Current Month,3670726.0
Short Int Prev Month,2647531.0
Short Int Pct of Float,0.0523794
Days to Cover,1.59363
Float,70.09724
Shares Outstanding,70.9371
Institutions Holding Shares,627.0
% Held by Institutions,1.058694
FCF Growth 5yr,0.13507100260548344
