,PWR
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.08517350157728709
Growth 1yr High Est,0.14589665653495443
Growth 1yr Consensus Est,0.030361577478833668
Growth 2yr Low Est,0.047068421625149515
Growth 2yr High Est,0.12334620625156212
Growth 2yr Consensus Est,0.08520731393835582
Growth 5yr Low Est,0.1672261111478384
Growth 5yr High Est,0.2089584566611346
Growth 5yr Consensus Est,0.18809228390448648
Growth 5yr Actual/Est,0.19007873712590678
Growth 3yr Historic,0.15286232996730315
