,2015,2016,2017,2018,2019,2020,Report
high,30.61,36.85,39.71,40.11,44.09,41.56,
low,18.46,16.77,30.23,27.9,29.39,23.77,
change,-0.2947,0.7451000000000001,0.11230000000000001,-0.2339,0.3735,-0.1634,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,129.0,112.0,138.0,79.0,165.0,,Balance Sheet
"Trade Accts Recvble, Gross",1626.0,1503.0,1990.0,2361.0,2757.0,,Balance Sheet
Prov. for Doubtful Accts,-5.0,-3.0,-4.0,-6.0,-9.0,,Balance Sheet
"Total Receivables, Net",1939.0,1973.0,2482.0,2932.0,3349.0,,Balance Sheet
Total Inventory,75.0,89.0,81.0,108.0,56.0,,Balance Sheet
Prepaid Expenses,135.0,115.0,168.0,208.0,261.0,,Balance Sheet
"Other Curr. Assets, Total",0.0,,,,,,Balance Sheet
Total Current Assets,2278.0,2289.0,2870.0,3326.0,3831.0,,Balance Sheet
Buildings,117.0,138.0,156.0,209.0,232.0,,Balance Sheet
Land/Improvements,41.0,46.0,49.0,61.0,68.0,,Balance Sheet
Machinery/Equipment,1518.0,1635.0,1835.0,1866.0,2069.0,,Balance Sheet
Construction in Progress,44.0,73.0,61.0,20.0,26.0,,Balance Sheet
Other Prop./Plant/Equip.,138.0,145.0,170.0,213.0,527.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1857.0,2037.0,2270.0,2368.0,2921.0,,Balance Sheet
Accumulated Depreciation,-755.0,-863.0,-981.0,-1092.0,-1250.0,,Balance Sheet
Prop./Plant/Equip. - Net,1102.0,1174.0,1289.0,1276.0,1671.0,,Balance Sheet
"Goodwill, Gross",,1643.0,1966.0,1996.0,2119.0,,Balance Sheet
Accum. Goodwill Amort.,,-40.0,-98.0,-96.0,-96.0,,Balance Sheet
"Goodwill, Net",1553.0,1603.0,1869.0,1900.0,2023.0,,Balance Sheet
Intangibles - Gross,470.0,484.0,599.0,652.0,852.0,,Balance Sheet
Accum. Intangible Amort.,-265.0,-297.0,-336.0,-372.0,-438.0,,Balance Sheet
Intangibles - Net,205.0,187.0,263.0,280.0,414.0,,Balance Sheet
Other Long Term Assets,76.0,101.0,190.0,294.0,393.0,,Balance Sheet
Total Assets,5214.0,5354.0,6480.0,7076.0,8332.0,,Balance Sheet
Accounts Payable,452.0,530.0,633.0,787.0,799.0,,Balance Sheet
Accrued Expenses,318.0,337.0,389.0,475.0,614.0,,Balance Sheet
Notes Payable/ST Debt,5.0,3.0,0.0,33.0,7.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,2.0,5.0,1.0,32.0,68.0,,Balance Sheet
Customer Advances,407.0,290.0,449.0,466.0,639.0,,Balance Sheet
Income Taxes Payable,4.0,41.0,20.0,13.0,58.0,,Balance Sheet
Discontinued Operations,15.0,0.0,,,,,Balance Sheet
Other Current Liabilities,,,,,78.0,,Balance Sheet
"Other Curr. Lblts, Total",426.0,331.0,469.0,479.0,775.0,,Balance Sheet
Total Current Liabilities,1204.0,1205.0,1492.0,1806.0,2263.0,,Balance Sheet
Long Term Debt,475.0,351.0,670.0,1040.0,1292.0,,Balance Sheet
Capital Lease Obligations,,2.0,1.0,0.0,1.0,,Balance Sheet
Total Long Term Debt,475.0,354.0,671.0,1041.0,1292.0,,Balance Sheet
Total Debt,482.0,361.0,672.0,1106.0,1367.0,,Balance Sheet
Deferred Income Tax,186.0,193.0,179.0,219.0,215.0,,Balance Sheet
Minority Interest,2.0,3.0,4.0,1.0,4.0,,Balance Sheet
Other LT Liabilities,260.0,260.0,342.0,405.0,508.0,,Balance Sheet
Discont. Ops. - Lblts,0.0,,,,,,Balance Sheet
"Other Liabilities, Total",260.0,260.0,342.0,405.0,508.0,,Balance Sheet
Total Liabilities,2128.0,2015.0,2689.0,3472.0,4281.0,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,3498.0,1749.0,1889.0,1967.0,2025.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1678.0,1876.0,2191.0,2477.0,2854.0,,Balance Sheet
Treasury Stock - Common,-1795.0,-14.0,-85.0,-554.0,-587.0,,Balance Sheet
"Other Equity, Total",-295.0,-272.0,-203.0,-286.0,-242.0,,Balance Sheet
Total Equity,3085.0,3339.0,3792.0,3604.0,4050.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,5214.0,5354.0,6480.0,7076.0,8332.0,,Balance Sheet
Shr Outs.-Com. Primary Iss.,153.0,145.0,153.0,141.0,142.0,,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,7.0,7.0,0.0,0.0,0.0,,Balance Sheet
Ttl Comm. Shares Outs.,160.0,151.0,154.0,142.0,142.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,75.0,0.0,2.0,16.0,17.0,,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,0.0,,,,Balance Sheet
Trsry Shrs-Pref. Iss. 2,,,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,7572.0,7651.0,9466.0,11171.0,12112.0,,Income Statement
"Cost of Revenue, Total",6649.0,6638.0,8225.0,9691.0,10512.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",593.0,653.0,778.0,858.0,956.0,,Income Statement
Depreciation/Amortization,35.0,32.0,32.0,44.0,62.0,,Income Statement
"Inter/Invest Inc, Operating",,,-5.0,-11.0,13.0,,Income Statement
Impair-Assets Held for Use,58.0,8.0,58.0,49.0,14.0,,Income Statement
Unusual Expense (Income),58.0,8.0,58.0,49.0,14.0,,Income Statement
Total Operating Expense,7335.0,7331.0,9088.0,10631.0,11557.0,,Income Statement
Total Operating Income,238.0,321.0,379.0,540.0,555.0,,Income Statement
"Inter Expse,Net Non-Operat",-8.0,-15.0,-21.0,-37.0,-67.0,,Income Statement
"Inter Income, Non-Operating",1.0,2.0,1.0,2.0,1.0,,Income Statement
"Invest Income, Non-Operat",0.0,-1.0,,,,,Income Statement
"Inter/Invest Inc, Non-Oper",1.0,1.0,1.0,2.0,1.0,,Income Statement
OtherNon-OperatInc (Expnse),-2.0,0.0,-5.0,-47.0,83.0,,Income Statement
"Other, Net",-2.0,0.0,-5.0,-47.0,83.0,,Income Statement
Income Before Tax,229.0,308.0,354.0,458.0,572.0,,Income Statement
Income Tax - Total,97.0,107.0,106.0,168.0,165.0,,Income Statement
Income After Tax,131.0,200.0,248.0,290.0,407.0,,Income Statement
Minority Interest,-11.0,-2.0,-3.0,-3.0,-5.0,,Income Statement
Net Inc Before Extra Items,120.0,199.0,245.0,287.0,402.0,,Income Statement
Discontinued Operations,191.0,0.0,0.0,0.0,,,Income Statement
Extraordinary Item,,,70.0,6.0,0.0,,Income Statement
Total Extraordinary Items,191.0,0.0,70.0,6.0,0.0,,Income Statement
Total Net Income,311.0,198.0,315.0,293.0,402.0,,Income Statement
Income Available to Common Excl. Extra. Items,120.0,199.0,245.0,287.0,402.0,,Income Statement
Income Available to Common Incl. Extra. Items,311.0,198.0,315.0,293.0,402.0,,Income Statement
Basic/Primary Weighted Average Shares,195.0,157.0,156.0,153.0,146.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,0.62,1.26,1.57,1.88,2.76,,Income Statement
Basic/Primary EPS Incl. Extra. Items,1.59,1.26,2.02,1.92,2.76,,Income Statement
Diluted Weighted Average Shares,195.0,157.0,157.0,154.0,148.0,,Income Statement
Diluted EPS Excl. Extra. Items,0.62,1.26,1.56,1.86,2.73,,Income Statement
Diluted EPS Incl. Extra. Items,1.59,1.26,2.0,1.9,2.73,,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.16,,Income Statement
Gross Divid - Common Stock,0.0,0.0,0.0,0.0,25.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",8.0,15.0,21.0,37.0,67.0,,Income Statement
"Depreciat/Amort, Suppl",163.0,170.0,184.0,203.0,219.0,,Income Statement
Total Special Items,58.0,8.0,58.0,49.0,14.0,,Income Statement
Normalzd Income Before Tax,287.0,316.0,412.0,507.0,586.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),25.0,3.0,17.0,18.0,4.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,122.0,110.0,123.0,186.0,169.0,,Income Statement
Normalized Income After Tax,165.0,206.0,289.0,321.0,417.0,,Income Statement
