,Industry,PWR,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-157.93,15.87,Valuation,-0.10048755777876274
Price/Sales (TTM),2.61,0.39,Valuation,0.14942528735632185
Price/Book (MRQ),1.61,1.25,Valuation,0.7763975155279502
"PEG Ratio (TTM, GAAP)",2.01,1.81,Valuation,0.9004975124378111
Gross Profit Margin (TTM),0.1576,0.13,Profitability,0.8248730964467006
Operating Profit Margin (TTM),0.0329,0.042800000000000005,Profitability,1.3009118541033438
Net Profit Margin (TTM),0.0121,0.0271,Profitability,2.239669421487603
Annual Dividend Yield,0.006500000000000001,0.0058,Dividend,0.8923076923076921
Dividend Change %,0.028900000000000002,,Dividend,
"Dividend Growth Rate, 3 Years",0.005600000000000001,,Dividend,
EPS Growth (MRQ),-0.08750000000000001,-0.6678000000000001,Gowth rates,7.632
EPS Growth (TTM),-0.7864,-0.11539999999999999,Gowth rates,0.14674465920651067
Revenue Growth (MRQ),0.0602,-0.11199999999999999,Gowth rates,-1.8604651162790697
Revenue Growth (TTM),0.0687,0.043899999999999995,Gowth rates,0.6390101892285298
Return On Equity (TTM),0.0363,0.0852,Effectiveness,2.347107438016529
Return On Assets (TTM),0.0229,0.0412,Effectiveness,1.7991266375545851
Return On Investment (TTM),0.027700000000000002,0.0546,Effectiveness,1.9711191335740073
Revenue Per Employee (TTM),470859.0,1231530.0,Effectiveness,2.6154963587825657
Total Debt/Total Capital (MRQ),0.3851,0.30469999999999997,Financial strength,0.7912230589457283
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0011,Financial strength,0.5238095238095238
Quick Ratio (MRQ),0.89,1.75,Financial strength,1.9662921348314606
Interest Coverage (MRQ),12.93,5.33,Financial strength,0.41221964423820573
