,PXD
% Above Low,0.8509000000000001
% Held by Institutions,0.9057
52-Wk Range,['48.62 - 159.01']
Annual Dividend $,2.2
Annual Dividend %,0.0253
Ask,104.66
Ask Size,8200.0
B/A Ratio,0.024390243902439025
B/A Size,200x8200
Beta,1.8
Bid,90.01
Bid Size,200.0
Closing Price,89.99
Day Change $,2.97
Day Change %,0.0341
Day High,91.5
Day Low,87.3
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",4.2
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.7540000000000001
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,14.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.44
Prev Close,87.02
Shares Outstanding,164.9M
Short Interest,0.0313
Today's Open,89.02
Volume,2615892.0
Volume 10-day Avg,2400041.0
Volume Past Day,(Average)
