,2015,2016,2017,2018,2019,2020,Report
high,42.55,44.52,79.39,93.7,121.48,147.2,
low,30.0,30.52,39.02,70.22,81.91,82.07,
change,-0.047400000000000005,0.1235,0.8273,0.1328,0.3131,0.32420000000000004,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1393.0,1590.0,2883.0,7575.0,7349.0,,Balance Sheet
Short Term Investments,2018.0,3385.0,2812.0,1534.0,3412.0,,Balance Sheet
Cash and Short Term Invs,3411.0,4975.0,5695.0,9109.0,10761.0,,Balance Sheet
"Trade Accts Recvble, Net",137.0,214.0,283.0,313.0,435.0,,Balance Sheet
Notes Recvble - Short Term,4184.0,5348.0,1314.0,2532.0,3972.0,,Balance Sheet
Other Receivables,12261.0,14363.0,24640.0,20062.0,22527.0,,Balance Sheet
"Total Receivables, Net",16582.0,19925.0,26237.0,22907.0,26934.0,,Balance Sheet
Prepaid Expenses,558.0,610.0,647.0,638.0,666.0,,Balance Sheet
"Other Curr. Assets, Total",97.0,223.0,66.0,309.0,134.0,,Balance Sheet
Total Current Assets,20648.0,25733.0,32645.0,32963.0,38495.0,,Balance Sheet
Buildings,297.0,335.0,388.0,420.0,460.0,,Balance Sheet
Land/Improvements,352.0,357.0,364.0,408.0,430.0,,Balance Sheet
Machinery/Equipment,2968.0,3421.0,4129.0,4813.0,5275.0,,Balance Sheet
Construction in Progress,133.0,268.0,148.0,119.0,80.0,,Balance Sheet
Other Prop./Plant/Equip.,99.0,119.0,129.0,147.0,650.0,,Balance Sheet
Prop./Plant/Equip. - Gross,3849.0,4500.0,5158.0,5907.0,6895.0,,Balance Sheet
Accumulated Depreciation,-2505.0,-3018.0,-3630.0,-4183.0,-4723.0,,Balance Sheet
Prop./Plant/Equip. - Net,1344.0,1482.0,1528.0,1724.0,2172.0,,Balance Sheet
"Goodwill, Net",4069.0,4059.0,4339.0,6284.0,6212.0,,Balance Sheet
Intangibles - Gross,1290.0,1292.0,1330.0,2133.0,2289.0,,Balance Sheet
Accum. Intangible Amort.,-932.0,-1081.0,-1162.0,-1308.0,-1511.0,,Balance Sheet
Intangibles - Net,358.0,211.0,168.0,825.0,778.0,,Balance Sheet
LT Invt. - Affiliate Comp.,26.0,50.0,88.0,293.0,524.0,,Balance Sheet
LT Investments - Other,2322.0,1489.0,1873.0,678.0,2339.0,,Balance Sheet
Long Term Investments,2348.0,1539.0,1961.0,971.0,2863.0,,Balance Sheet
Other Long Term Assets,114.0,58.0,38.0,341.0,417.0,,Balance Sheet
Total Assets,28881.0,33103.0,40774.0,43332.0,51333.0,,Balance Sheet
Accounts Payable,12406.0,15355.0,19999.0,21843.0,24759.0,,Balance Sheet
Accrued Expenses,1154.0,1400.0,1563.0,1935.0,1978.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,1000.0,1998.0,0.0,,Balance Sheet
Income Taxes Payable,32.0,64.0,83.0,61.0,73.0,,Balance Sheet
Other Current Liabilities,25.0,59.0,218.0,67.0,109.0,,Balance Sheet
"Other Curr. Lblts, Total",57.0,123.0,301.0,128.0,182.0,,Balance Sheet
Total Current Liabilities,13617.0,16878.0,22863.0,25904.0,26919.0,,Balance Sheet
Total Long Term Debt,0.0,0.0,0.0,0.0,4978.0,,Balance Sheet
Total Debt,0.0,0.0,1000.0,1998.0,4978.0,,Balance Sheet
Deferred Income Tax,,1513.0,,109.0,89.0,,Balance Sheet
Minority Interest,,,,,44.0,,Balance Sheet
"Other Liabilities, Total",1505.0,,1917.0,1933.0,2418.0,,Balance Sheet
Total Liabilities,15122.0,18391.0,24780.0,27946.0,34448.0,,Balance Sheet
