,2015,2016,2017,2018,2019,2020,Report
high,88.35,64.8,81.2,86.84,118.49,122.37,
low,42.24,33.3,52.12,56.33,54.74,67.54,
change,-0.33020000000000005,0.061399999999999996,0.2524,-0.0944,0.9495,-0.1216,
Date,2015-03-28 00:00:00,2016-04-02 00:00:00,2017-04-01 00:00:00,2018-03-31 00:00:00,2019-03-30 00:00:00,,Balance Sheet
Cash & Equivalents,300.0,426.0,545.0,926.0,711.0,,Balance Sheet
Short Term Investments,245.0,187.0,0.0,,,,Balance Sheet
Cash and Short Term Invs,545.0,613.0,545.0,926.0,711.0,,Balance Sheet
"Trade Accts Recvble, Gross",354.0,316.0,358.0,346.0,378.0,,Balance Sheet
Prov. for Doubtful Accts,-1.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Trade Accts Recvble, Net",354.0,316.0,358.0,346.0,378.0,,Balance Sheet
Other Receivables,26.0,47.0,65.0,45.0,22.0,,Balance Sheet
"Total Receivables, Net",380.0,364.0,423.0,391.0,400.0,,Balance Sheet
Invent. - Finished Goods,138.0,109.0,140.0,141.0,121.0,,Balance Sheet
Invent. - Work In Progress,137.0,229.0,198.0,221.0,272.0,,Balance Sheet
Invent. - Raw Materials,72.0,90.0,92.0,110.0,119.0,,Balance Sheet
Total Inventory,347.0,428.0,430.0,472.0,512.0,,Balance Sheet
Prepaid Expenses,52.0,64.0,36.0,24.0,26.0,,Balance Sheet
Deferred Income Tax,310.0,152.0,132.0,63.0,0.0,,Balance Sheet
Other Current Assets,27.0,41.0,26.0,31.0,36.0,,Balance Sheet
"Other Curr. Assets, Total",177.0,41.0,26.0,31.0,36.0,,Balance Sheet
Total Current Assets,1500.0,1509.0,1462.0,1844.0,1685.0,,Balance Sheet
Buildings,253.0,338.0,385.0,389.0,416.0,,Balance Sheet
Land/Improvements,25.0,25.0,25.0,24.0,26.0,,Balance Sheet
Machinery/Equipment,965.0,1240.0,1645.0,1660.0,2025.0,,Balance Sheet
Construction in Progress,236.0,182.0,304.0,213.0,118.0,,Balance Sheet
Other Prop./Plant/Equip.,13.0,14.0,14.0,,,,Balance Sheet
