,QRVO
% Below High,0.1583
% Held by Institutions,0.9033
52-Wk Range,['58.52 - 122.37']
Annual Dividend $,
Annual Dividend %,
Ask,103.79
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,103.05
Bid Size,100.0
Closing Price,103.0
Day Change $,2.18
Day Change %,0.0216
Day High,108.78
Day Low,101.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.88
Ex-dividend Date,No dividend
Historical Volatility,0.551
Last (size),20.0
Last (time),4:15p ET 05/08/20
Market Cap,11.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.71
Prev Close,100.82
Shares Outstanding,115.7M
Short Interest,0.031200000000000002
Today's Open,107.92
Volume,2889598.0
Volume 10-day Avg,2012192.0
Volume Past Day,(Heavy Day)
