,RE
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.25129802699896164
Growth 1yr High Est,-0.06263982102908283
Growth 1yr Consensus Est,-0.15696892401402224
Growth 2yr Low Est,0.03281145806778679
Growth 2yr High Est,0.08371588900813165
Growth 2yr Consensus Est,0.05826367353795922
Growth 5yr Low Est,2.745683829188049
Growth 5yr High Est,0.8901888580848359
Growth 5yr Consensus Est,1.8179363436364422
Growth 5yr Actual/Est,0.8097327727995851
Growth 3yr Historic,0.7750590807042419
