,RF
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-1.2666666666666666
Growth 1yr High Est,-0.30519480519480513
Growth 1yr Consensus Est,-0.7859307359307359
Growth 2yr Low Est,-2.020833333333333
Growth 2yr High Est,0.18852409272970022
Growth 2yr Consensus Est,-0.9161546203018164
Growth 5yr Low Est,-1.3129084967320261
Growth 5yr High Est,0.11724390992106597
Growth 5yr Consensus Est,-0.59783229340548
Growth 5yr Actual/Est,0.18896663612946504
Growth 3yr Historic,0.1032347282347282
