,RF
Price/Earnings (TTM),8.0525
Price/Sales (TTM),1.69153
Price/Book (MRQ),0.61672
Price/Cash Flow (TTM),5.87768
5yr Low,6.94
5yr High,20.21
5yr Avg Return,0.059783333333333306
EPS Growth 5yr,0.1402219
Revenue Growth 5yr,0.052665
Dividend Growth 5yr,0.32650219999999996
Short Int Current Month,19436568.0
Short Int Prev Month,15898895.0
Short Int Pct of Float,0.020400299999999996
Days to Cover,1.50665
Float,955.6574
Shares Outstanding,959.6796
Institutions Holding Shares,976.0
% Held by Institutions,0.749139
FCF Growth 5yr,0.15337807635991663
