,RF
% Above Low,0.48700000000000004
% Held by Institutions,0.7491
52-Wk Range,['6.94 - 17.54']
Annual Dividend $,0.62
Annual Dividend %,0.0629
Ask,10.4
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.7
Bid,10.0
Bid Size,400.0
Closing Price,10.32
Day Change $,0.47
Day Change %,0.04769999999999999
Day High,10.38
Day Low,10.01
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.595
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,9.85
Shares Outstanding,959.7M
Short Interest,0.0204
Today's Open,10.17
Volume,7562551.0
Volume 10-day Avg,10145522.0
Volume Past Day,(Light)
