,RHI
% Above Low,0.4632
% Held by Institutions,0.9409000000000001
52-Wk Range,['32.38 - 63.97']
Annual Dividend $,1.36
Annual Dividend %,0.0301
Ask,61.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.6
Bid,41.68
Bid Size,500.0
Closing Price,47.38
Day Change $,2.22
Day Change %,0.0492
Day High,47.54
Day Low,45.54
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.76
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.423
Last (size),8000.0
Last (time),6:30p ET 05/08/20
Market Cap,5.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.59
Prev Close,45.16
Short Interest,0.0692
Today's Open,45.54
Volume,1280405.0
Volume 10-day Avg,1567412.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6233766233766234
Growth 1yr High Est,-0.23645320197044328
Growth 1yr Consensus Est,-0.4299149126735333
Growth 2yr Low Est,-0.1978952082400358
Growth 2yr High Est,0.026934689337358986
Growth 2yr Consensus Est,-0.08548025945133841
Growth 5yr Low Est,-0.09859680549335718
Growth 5yr High Est,0.06159619957680943
Growth 5yr Consensus Est,-0.018500302958273873
Growth 5yr Actual/Est,0.08839524711275082
Growth 3yr Historic,0.11719848710845943
Price/Earnings (TTM),12.58901
Price/Sales (TTM),0.88831
Price/Book (MRQ),4.8055
Price/Cash Flow (TTM),10.85033
5yr Low,32.38
5yr High,79.91
5yr Avg Return,-0.01575
EPS Growth 5yr,0.11579729999999999
Revenue Growth 5yr,0.0528676
Dividend Growth 5yr,0.1148536
Short Int Current Month,7696324.0
Short Int Prev Month,7061043.0
Short Int Pct of Float,0.0692043
Days to Cover,3.74298
Float,111.2113
Shares Outstanding,114.6022
Institutions Holding Shares,675.0
FCF Growth 5yr,0.05856642319523355
"Price/Earnings (TTM, GAAP)",12.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41450000000000004
Operating Profit Margin (TTM),0.099
Net Profit Margin (TTM),0.07110000000000001
Annual Dividend Yield,0.028700000000000003
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.1211
EPS Growth (MRQ),-0.196
EPS Growth (TTM),0.0077
Revenue Growth (MRQ),-0.02
Revenue Growth (TTM),0.04070000000000001
Return On Equity (TTM),0.39380000000000004
Return On Assets (TTM),0.19399999999999998
Return On Investment (TTM),0.3261
Revenue Per Employee (TTM),382037.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,hold
ford,3
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-18 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2019-04-26 00:00:00
creditSuisse since,2016-10-03 00:00:00
