,RHI
% Above Low,0.4632
% Held by Institutions,0.9409000000000001
52-Wk Range,['32.38 - 63.97']
Annual Dividend $,1.36
Annual Dividend %,0.0301
Ask,61.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.6
Bid,41.68
Bid Size,500.0
Closing Price,47.38
Day Change $,2.22
Day Change %,0.0492
Day High,47.54
Day Low,45.54
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.76
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.423
Last (size),8000.0
Last (time),6:30p ET 05/08/20
Market Cap,5.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.59
Prev Close,45.16
Shares Outstanding,114.6M
Short Interest,0.0692
Today's Open,45.54
Volume,1280405.0
Volume 10-day Avg,1567412.0
Volume Past Day,(Below Average)
