,RJF
Price/Earnings (TTM),9.90701
Price/Sales (TTM),1.12746
Price/Book (MRQ),1.34473
Price/Cash Flow (TTM),8.52412
5yr Low,39.84
5yr High,102.45
5yr Avg Return,0.049249999999999995
EPS Growth 5yr,0.1661117
Revenue Growth 5yr,0.1007165
Dividend Growth 5yr,0.16315190000000002
Short Int Current Month,5339250.0
Short Int Prev Month,4996511.0
Short Int Pct of Float,0.0430433
Days to Cover,5.36459
Float,126.8784
Shares Outstanding,139.2839
Institutions Holding Shares,656.0
% Held by Institutions,0.725947
FCF Growth 5yr,-1.2369611759942694
