,RMD
% Below High,0.08560000000000001
% Held by Institutions,0.6812999999999999
52-Wk Range,['108.85 - 177.99']
Annual Dividend $,1.56
Annual Dividend %,0.0097
Ask,163.59
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.5
Bid,152.0
Bid Size,100.0
Closing Price,162.75
Day Change $,2.05
Day Change %,0.0128
Day High,165.47
Day Low,160.89
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.46
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,23.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.97
Prev Close,160.7
Short Interest,0.0127
Today's Open,161.91
Volume,543148.0
Volume 10-day Avg,724289.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2186588921282797
Growth 1yr High Est,0.3024523160762944
Growth 1yr Consensus Est,0.26055560410228706
Growth 2yr Low Est,0.11770265180576667
Growth 2yr High Est,0.1669165346071848
Growth 2yr Consensus Est,0.14230959320647574
Growth 5yr Low Est,0.1185559876669568
Growth 5yr High Est,0.15488402857513228
Growth 5yr Consensus Est,0.13672000812104454
Growth 5yr Actual/Est,0.13456433123275274
Growth 3yr Historic,0.07073363068330218
Price/Earnings (TTM),45.96938
Price/Sales (TTM),8.14239
Price/Book (MRQ),10.4341
Price/Cash Flow (TTM),34.94733
5yr Low,48.99
5yr High,177.99
5yr Avg Return,0.18738333333333335
EPS Growth 5yr,0.0354105
Revenue Growth 5yr,0.1088413
Dividend Growth 5yr,0.0815643
Short Int Current Month,1817107.0
Short Int Prev Month,1713298.0
Short Int Pct of Float,0.012665299999999999
Days to Cover,2.35081
Float,143.4713
Shares Outstanding,144.6684
Institutions Holding Shares,809.0
FCF Growth 5yr,0.08069642954163306
"Price/Earnings (TTM, GAAP)",45.97
"PEG Ratio (TTM, GAAP)",2.18
Gross Profit Margin (TTM),0.5878
Operating Profit Margin (TTM),0.2447
Net Profit Margin (TTM),0.17800000000000002
Annual Dividend Yield,0.0096
Dividend Change %,0.0571
"Dividend Growth Rate, 3 Years",0.0724
EPS Growth (MRQ),0.0154
EPS Growth (TTM),0.13
Revenue Growth (MRQ),0.0452
Revenue Growth (TTM),0.1451
Return On Equity (TTM),0.2407
Return On Assets (TTM),0.11960000000000001
Return On Investment (TTM),0.1356
Revenue Per Employee (TTM),399397.0
Total Debt/Total Capital (MRQ),0.379
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),2.01
Interest Coverage (MRQ),14.96
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,-1
cfra,3
theStreet,buy
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-08-01 00:00:00
theStreet since,2011-05-17 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,
