,ROL
% Below High,0.0045000000000000005
% Held by Institutions,0.4227
52-Wk Range,['30.72 - 42.48']
Annual Dividend $,0.32
Annual Dividend %,0.0077
Ask,55.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,25.2
Bid Size,100.0
Closing Price,42.29
Day Change $,0.66
Day Change %,0.0159
Day High,42.48
Day Low,41.81
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",0.62
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.34700000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",68.72
Prev Close,41.63
Short Interest,0.0965
Today's Open,42.0
Volume,1047515.0
Volume 10-day Avg,1438711.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.125
Growth 1yr High Est,-0.1216216216216216
Growth 1yr Consensus Est,-0.1233108108108108
Growth 2yr Low Est,0.024801587301587324
Growth 2yr High Est,0.07765072765072761
Growth 2yr Consensus Est,0.05122615747615747
Growth 5yr Low Est,-0.022768555779119154
Growth 5yr High Est,0.006955903712551559
Growth 5yr Consensus Est,-0.007906326033283798
Growth 5yr Actual/Est,0.09231134448483744
Growth 3yr Historic,0.0684457622930566
Price/Earnings (TTM),68.72288
Price/Sales (TTM),6.68236
Price/Book (MRQ),17.31858
Price/Cash Flow (TTM),48.20143
5yr Low,15.79
5yr High,43.91
5yr Avg Return,0.18458333333333335
EPS Growth 5yr,0.0806129
Revenue Growth 5yr,0.0738295
Dividend Growth 5yr,0.17607479999999998
Short Int Current Month,13680474.0
Short Int Prev Month,12296477.0
Short Int Pct of Float,0.0964734
Days to Cover,11.07975
Float,141.8054
Shares Outstanding,327.7675
Institutions Holding Shares,582.0
FCF Growth 5yr,0.12813632784455514
"Price/Earnings (TTM, GAAP)",68.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5047
Operating Profit Margin (TTM),0.1298
Net Profit Margin (TTM),0.09720000000000001
Annual Dividend Yield,0.0076
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",0.1635
EPS Growth (MRQ),-0.13390000000000002
EPS Growth (TTM),-0.11880000000000002
Revenue Growth (MRQ),-0.0357
Revenue Growth (TTM),0.1262
Return On Equity (TTM),0.26530000000000004
Return On Assets (TTM),0.13240000000000002
Return On Investment (TTM),0.1773
Revenue Per Employee (TTM),138731.0
Total Debt/Total Capital (MRQ),0.28550000000000003
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),26.46
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-11-30 00:00:00
theStreet since,2005-09-27 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
