,ROP
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.09861325115562414
Growth 1yr High Est,-0.032258064516129004
Growth 1yr Consensus Est,-0.06543565783587657
Growth 2yr Low Est,-0.030075856347042795
Growth 2yr High Est,0.08307731694828469
Growth 2yr Consensus Est,0.026500730300620945
Growth 5yr Low Est,0.0767970654337341
Growth 5yr High Est,0.13273105806453944
Growth 5yr Consensus Est,0.10476406174913677
Growth 5yr Actual/Est,0.09435761926520878
Growth 3yr Historic,0.08967781630954375
