,ROST
% Below High,0.2634
% Held by Institutions,0.8858
52-Wk Range,['56.30 - 124.16']
Annual Dividend $,1.14
Annual Dividend %,0.0127
Ask,91.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,90.51
Bid Size,100.0
Closing Price,91.46
Day Change $,1.61
Day Change %,0.0179
Day High,91.6
Day Low,90.46
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.499
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,32.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.88
Prev Close,89.85
Short Interest,0.0132
Today's Open,91.1
Volume,1479998.0
Volume 10-day Avg,2622363.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.7400881057268722
Growth 1yr High Est,-0.1515151515151516
Growth 1yr Consensus Est,-0.4458016286210119
Growth 2yr Low Est,0.35876950645859784
Growth 2yr High Est,0.10026283240568945
Growth 2yr Consensus Est,0.22951616943214365
Growth 5yr Low Est,0.2706311994360923
Growth 5yr High Est,0.1342104733576216
Growth 5yr Consensus Est,0.20242083639685696
Growth 5yr Actual/Est,0.15105395968439522
Growth 3yr Historic,0.08881532709229428
Price/Earnings (TTM),19.88438
Price/Sales (TTM),2.02653
Price/Book (MRQ),9.71367
Price/Cash Flow (TTM),16.15637
5yr Low,43.47
5yr High,124.16
5yr Avg Return,0.12291666666666665
EPS Growth 5yr,0.1576407
Revenue Growth 5yr,0.07752869999999999
Dividend Growth 5yr,0.205891
Short Int Current Month,4584861.0
Short Int Prev Month,4576565.0
Short Int Pct of Float,0.0132227
Days to Cover,1.33931
Float,347.7631
Shares Outstanding,355.3871
Institutions Holding Shares,1241.0
FCF Growth 5yr,0.148455722962568
"Price/Earnings (TTM, GAAP)",19.88
"PEG Ratio (TTM, GAAP)",2.69
Gross Profit Margin (TTM),0.2807
Operating Profit Margin (TTM),0.1338
Net Profit Margin (TTM),0.1036
Annual Dividend Yield,0.0125
Dividend Change %,0.1333
"Dividend Growth Rate, 3 Years",0.2361
EPS Growth (MRQ),0.2364
EPS Growth (TTM),0.07980000000000001
Revenue Growth (MRQ),0.1466
Revenue Growth (TTM),0.0704
Return On Equity (TTM),0.49840000000000007
Return On Assets (TTM),0.2154
Return On Investment (TTM),0.31010000000000004
Revenue Per Employee (TTM),173395.0
Total Debt/Total Capital (MRQ),0.0852
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2008-02-20 00:00:00
cfra since,2019-03-06 00:00:00
ford since,2020-03-06 00:00:00
creditSuisse since,2018-05-25 00:00:00
