,SEE
% Above Low,0.7373999999999999
% Held by Institutions,0.9328
52-Wk Range,['17.06 - 45.86']
Annual Dividend $,0.64
Annual Dividend %,0.022400000000000003
Ask,34.0
Ask Size,300.0
B/A Ratio,29.0
B/A Size,8700x300
Beta,1.1
Bid,25.0
Bid Size,8700.0
Closing Price,29.64
Day Change $,1.11
Day Change %,0.038900000000000004
Day High,29.83
Day Low,28.91
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",1.91
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.517
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.49
Prev Close,28.53
Shares Outstanding,155.7M
Short Interest,0.034
Today's Open,29.02
Volume,752379.0
Volume 10-day Avg,1973935.0
Volume Past Day,(Light)
