,SHW
% Below High,0.08380000000000001
% Held by Institutions,0.7938
52-Wk Range,['325.43 - 599.95']
Annual Dividend $,5.36
Annual Dividend %,0.0101
Ask,695.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,549.68
Bid Size,200.0
Closing Price,549.68
Day Change $,21.12
Day Change %,0.04
Day High,553.58
Day Low,534.7
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",17.32
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.423
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.73
Prev Close,528.56
Shares Outstanding,90.8M
Short Interest,0.015600000000000001
Today's Open,539.06
Volume,492399.0
Volume 10-day Avg,483066.0
Volume Past Day,(Average)
