,Industry,SHW,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.43,31.73,Valuation,0.8047172203905656
Price/Sales (TTM),2.97,2.77,Valuation,0.9326599326599326
Price/Book (MRQ),4.35,15.17,Valuation,3.487356321839081
"PEG Ratio (TTM, GAAP)",0.33,4.04,Valuation,12.242424242424242
Gross Profit Margin (TTM),0.35350000000000004,0.4549,Profitability,1.2868458274398868
Operating Profit Margin (TTM),0.099,0.11410000000000001,Profitability,1.1525252525252525
Net Profit Margin (TTM),0.06820000000000001,0.0898,Profitability,1.316715542521994
Annual Dividend Yield,0.0248,0.0098,Dividend,0.3951612903225806
Dividend Change %,0.0886,0.314,Dividend,3.544018058690745
"Dividend Growth Rate, 3 Years",0.054400000000000004,0.1039,Dividend,1.9099264705882353
EPS Growth (MRQ),-0.0855,0.2995,Gowth rates,-3.5029239766081868
EPS Growth (TTM),-1.1996,0.49700000000000005,Gowth rates,-0.4143047682560854
Revenue Growth (MRQ),0.0033000000000000004,0.0078000000000000005,Gowth rates,2.3636363636363633
Revenue Growth (TTM),0.092,0.0225,Gowth rates,0.24456521739130435
Return On Equity (TTM),0.1464,0.4794,Effectiveness,3.274590163934426
Return On Assets (TTM),0.0396,0.0779,Effectiveness,1.967171717171717
Return On Investment (TTM),0.057699999999999994,0.1033,Effectiveness,1.7902946273830158
Revenue Per Employee (TTM),549206.0,294655.0,Effectiveness,0.53651089026704
Total Debt/Total Capital (MRQ),0.46030000000000004,0.7481,Financial strength,1.6252444058222897
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0001,Financial strength,0.33333333333333337
Quick Ratio (MRQ),1.15,0.57,Financial strength,0.49565217391304345
Interest Coverage (MRQ),7.84,5.29,Financial strength,0.6747448979591837
