,Industry,SIVB,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.58,9.87,Valuation,1.0302713987473904
Price/Sales (TTM),2.42,2.86,Valuation,1.1818181818181819
Price/Book (MRQ),0.98,1.43,Valuation,1.4591836734693877
"PEG Ratio (TTM, GAAP)",0.92,1.23,Valuation,1.3369565217391304
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.2975,0.4161,Profitability,1.3986554621848741
Net Profit Margin (TTM),0.24170000000000003,0.3064,Profitability,1.267687215556475
Annual Dividend Yield,0.042699999999999995,,Dividend,
Dividend Change %,0.2285,,Dividend,
"Dividend Growth Rate, 3 Years",0.244,,Dividend,
EPS Growth (MRQ),-0.6215,-0.4968,Gowth rates,0.7993563958165728
EPS Growth (TTM),-0.1036,-0.0542,Gowth rates,0.5231660231660231
Revenue Growth (MRQ),-0.016,-0.0362,Gowth rates,2.2625
Revenue Growth (TTM),0.0529,0.11359999999999999,Gowth rates,2.147448015122873
Return On Equity (TTM),0.09550000000000002,0.1629,Effectiveness,1.7057591623036645
Return On Assets (TTM),0.0096,0.0152,Effectiveness,1.5833333333333335
Return On Investment (TTM),0.0001,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),0.0005,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.3821,0.029300000000000003,Financial strength,0.07668149699031668
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),0.0,,Financial strength,
