,SLB
% Above Low,0.5206000000000001
% Held by Institutions,0.7927
52-Wk Range,['11.87 - 41.40']
Annual Dividend $,0.5
Annual Dividend %,0.029900000000000003
Ask,18.08
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,18.07
Bid Size,200.0
Closing Price,18.05
Day Change $,1.32
Day Change %,0.0789
Day High,18.1
Day Low,17.09
Dividend Pay Date,2020-07-09 00:00:00
"EPS (TTM, GAAP)",-12.94
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.68
Last (size),35.0
Last (time),6:30p ET 05/08/20
Market Cap,25.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,16.73
Short Interest,0.0184
Today's Open,17.12
Volume,16423623.0
Volume 10-day Avg,18336614.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-1.1079136690647482
Growth 1yr High Est,-0.6778523489932886
Growth 1yr Consensus Est,-0.8928830090290184
Growth 2yr Low Est,0.9460431654676259
Growth 2yr High Est,-0.23475950782997768
Growth 2yr Consensus Est,0.3556418288188241
Growth 5yr Low Est,0.49734427262254055
Growth 5yr High Est,-0.11711508361855813
Growth 5yr Consensus Est,0.1901145945019912
Growth 5yr Actual/Est,-0.44451943350439593
Growth 3yr Historic,-0.00314814814814815
Price/Earnings (TTM),
Price/Sales (TTM),0.77094
Price/Book (MRQ),1.6098
Price/Cash Flow (TTM),
5yr Low,11.87
5yr High,93.41
5yr Avg Return,-0.19033333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.07489180000000001
Dividend Growth 5yr,0.057467199999999996
Short Int Current Month,25482416.0
Short Int Prev Month,23511579.0
Short Int Pct of Float,0.0183952
Days to Cover,1.17997
Float,1385.491
Shares Outstanding,1387.813
Institutions Holding Shares,1661.0
FCF Growth 5yr,-0.08589410580945085
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.127
Operating Profit Margin (TTM),-0.5696
Net Profit Margin (TTM),-0.551
Annual Dividend Yield,0.027700000000000002
Dividend Change %,-0.2
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-23.1185
EPS Growth (TTM),-9.8665
Revenue Growth (MRQ),-0.09390000000000001
Revenue Growth (TTM),-0.0113
Return On Equity (TTM),-0.6943
Return On Assets (TTM),-0.3011
Return On Investment (TTM),-0.3846
Revenue Per Employee (TTM),309457.0
Total Debt/Total Capital (MRQ),0.5101
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),5.06
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,sell
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-07 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-10 00:00:00
theStreet since,2019-10-21 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2018-12-19 00:00:00
