,SLB
% Above Low,0.5206000000000001
% Held by Institutions,0.7927
52-Wk Range,['11.87 - 41.40']
Annual Dividend $,0.5
Annual Dividend %,0.029900000000000003
Ask,18.08
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,18.07
Bid Size,200.0
Closing Price,18.05
Day Change $,1.32
Day Change %,0.0789
Day High,18.1
Day Low,17.09
Dividend Pay Date,2020-07-09 00:00:00
"EPS (TTM, GAAP)",-12.94
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.68
Last (size),35.0
Last (time),6:30p ET 05/08/20
Market Cap,25.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,16.73
Shares Outstanding,1.4B
Short Interest,0.0184
Today's Open,17.12
Volume,16423623.0
Volume 10-day Avg,18336614.0
Volume Past Day,(Below Average)
