,2015,2016,2017,2018,2019,2020,Report
high,124.68,120.63,115.34,106.54,93.91,96.39,
low,99.97,80.12,93.92,76.77,75.46,37.5,
change,-0.0775,-0.0381,-0.0716,-0.21739999999999998,0.1739,-0.47490000000000004,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,255.0,279.0,128.0,129.0,166.0,,Balance Sheet
"Trade Accts Recvble, Gross",602.0,538.0,459.0,,352.0,,Balance Sheet
Prov. for Doubtful Accts,-39.0,-42.0,-36.0,,-25.0,,Balance Sheet
"Total Receivables, Net",573.0,512.0,446.0,406.0,348.0,,Balance Sheet
Total Inventory,35.0,0.0,338.0,,392.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Other Prop./Plant/Equip.,16682.0,12743.0,10206.0,8514.0,8785.0,,Balance Sheet
Prop./Plant/Equip. - Gross,16682.0,12743.0,10206.0,8514.0,8785.0,,Balance Sheet
Accumulated Depreciation,-2061.0,-2265.0,-2300.0,-2099.0,-2061.0,,Balance Sheet
Prop./Plant/Equip. - Net,14621.0,10479.0,7906.0,6415.0,6724.0,,Balance Sheet
Intangibles - Gross,940.0,651.0,326.0,267.0,255.0,,Balance Sheet
Accum. Intangible Amort.,-404.0,-411.0,-277.0,-241.0,-228.0,,Balance Sheet
Intangibles - Net,536.0,240.0,49.0,26.0,27.0,,Balance Sheet
LT Invt. - Affiliate Comp.,1204.0,1890.0,2363.0,3019.0,2913.0,,Balance Sheet
LT Investments - Other,1715.0,1726.0,2143.0,2128.0,1610.0,,Balance Sheet
Long Term Investments,2919.0,3616.0,4506.0,5147.0,4523.0,,Balance Sheet
Deferred Charges,240.0,268.0,226.0,209.0,205.0,,Balance Sheet
Restricted Cash - LT,234.0,91.0,122.0,150.0,75.0,,Balance Sheet
Other Assets,315.0,374.0,262.0,270.0,306.0,,Balance Sheet
"Other Assets, Total",315.0,374.0,262.0,270.0,306.0,,Balance Sheet
Total Assets,19728.0,15858.0,13983.0,12751.0,12766.0,,Balance Sheet
Payable/Accrued,196.0,191.0,137.0,147.0,167.0,,Balance Sheet
Accrued Expenses,42.0,36.0,38.0,27.0,404.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,80.0,87.0,85.0,80.0,79.0,,Balance Sheet
Security Deposits,68.0,67.0,68.0,65.0,62.0,,Balance Sheet
Other Payables,2.0,3.0,3.0,,,,Balance Sheet
"Other Curr. Lblts, Total",150.0,156.0,156.0,145.0,142.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,10275.0,6482.0,5855.0,5542.0,5508.0,,Balance Sheet
Capital Lease Obligations,41.0,42.0,43.0,44.0,44.0,,Balance Sheet
Total Long Term Debt,10317.0,6524.0,5898.0,5585.0,5553.0,,Balance Sheet
Total Debt,10317.0,6524.0,5898.0,5585.0,5553.0,,Balance Sheet
Minority Interest,856.0,900.0,826.0,434.0,486.0,,Balance Sheet
Discont. Ops. - Lblts,29.0,0.0,4.0,,0.0,,Balance Sheet
Other Liabilities,568.0,424.0,396.0,211.0,291.0,,Balance Sheet
"Other Liabilities, Total",597.0,424.0,400.0,211.0,291.0,,Balance Sheet
Total Liabilities,12158.0,8231.0,7456.0,6549.0,7042.0,,Balance Sheet
Pref. Stock - Non Rdmbl.,222.0,222.0,222.0,222.0,222.0,,Balance Sheet
Conv. Pref. Stk-Non Rdmbl.,283.0,302.0,302.0,300.0,283.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",504.0,524.0,524.0,522.0,505.0,,Balance Sheet
Common Stock,1.0,1.0,1.0,1.0,1.0,,Balance Sheet
Additional Paid-In Capital,5440.0,5625.0,4968.0,4509.0,4286.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1644.0,1579.0,1139.0,1279.0,1085.0,,Balance Sheet
Treasury Stock - Common,-10.0,-124.0,-124.0,-124.0,-124.0,,Balance Sheet
Unrealized Gain (Loss),,,,1.0,2.0,,Balance Sheet
"Other Equity, Total",-9.0,22.0,19.0,14.0,-31.0,,Balance Sheet
Total Equity,7570.0,7626.0,6527.0,6202.0,5725.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,19728.0,15858.0,13983.0,12751.0,12766.0,,Balance Sheet
Ttl Comm. Shares Outs.,100.0,101.0,93.0,84.0,79.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,1.0,1.0,1.0,1.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 5,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,1663.0,1864.0,1511.0,1227.0,1239.0,,Income Statement
"Cost of Revenue, Total",567.0,595.0,571.0,449.0,459.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",106.0,107.0,99.0,94.0,102.0,,Income Statement
Depreciation/Amortization,561.0,821.0,403.0,280.0,272.0,,Income Statement
Unusual Expense (Income),0.0,0.0,0.0,17.0,0.0,,Income Statement
"Other Operat Expse, Total",,,,7.0,0.0,,Income Statement
Total Operating Expense,1234.0,1523.0,1073.0,846.0,833.0,,Income Statement
Total Operating Income,428.0,341.0,439.0,382.0,406.0,,Income Statement
"Inter Expse, Non-Operating",-385.0,-373.0,-301.0,-257.0,-261.0,,Income Statement
"Inter Capital, Non-Operat",31.0,24.0,26.0,34.0,55.0,,Income Statement
"Inter Expse,Net Non-Operat",-354.0,-349.0,-275.0,-222.0,-206.0,,Income Statement
"Inter Income, Non-Operating",3.0,3.0,2.0,2.0,4.0,,Income Statement
"Invest Income, Non-Operat",69.0,56.0,41.0,368.0,111.0,,Income Statement
"Inter/Invest Inc, Non-Oper",71.0,59.0,43.0,370.0,115.0,,Income Statement
Gain(Loss)on Sale of Assets,176.0,238.0,73.0,-31.0,-17.0,,Income Statement
"Other, Net",-19.0,-10.0,-179.0,-228.0,-7.0,,Income Statement
Income Before Tax,303.0,279.0,101.0,271.0,291.0,,Income Statement
Income After Tax,303.0,279.0,101.0,271.0,291.0,,Income Statement
Minority Interest,-26.0,-18.0,12.0,-12.0,-10.0,,Income Statement
Net Inc Before Extra Items,277.0,261.0,113.0,259.0,281.0,,Income Statement
Total Extraordinary Items,15.0,0.0,0.0,,,,Income Statement
Total Net Income,291.0,261.0,113.0,259.0,281.0,,Income Statement
Total Adjust to Net Income,-22.0,-26.0,-26.0,-26.0,-26.0,,Income Statement
Income Available to Common Excl. Extra. Items,255.0,235.0,86.0,232.0,255.0,,Income Statement
Income Available to Common Incl. Extra. Items,269.0,235.0,86.0,232.0,255.0,,Income Statement
Basic/Primary Weighted Average Shares,99.0,100.0,99.0,87.0,82.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.56,2.35,0.88,2.68,3.13,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.71,2.35,0.88,2.68,3.13,,Income Statement
Dilution Adjustment,11.0,10.0,4.0,12.0,13.0,,Income Statement
Diluted Weighted Average Shares,104.0,105.0,103.0,92.0,87.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.56,2.34,0.87,2.67,3.1,,Income Statement
Diluted EPS Incl. Extra. Items,2.7,2.34,0.87,2.67,3.1,,Income Statement
Div/Share-ComStockPrimIssue,2.4,2.88,3.1,3.25,3.4,,Income Statement
Gross Divid - Common Stock,251.0,295.0,305.0,282.0,279.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",354.0,349.0,275.0,222.0,206.0,,Income Statement
"Interest Capitalized, Suppl",-31.0,-24.0,-26.0,-34.0,-55.0,,Income Statement
"Depreciat/Amort, Suppl",588.0,846.0,420.0,292.0,284.0,,Income Statement
Funds From Operats - REIT,662.0,870.0,667.0,606.0,606.0,,Income Statement
Total Special Items,-176.0,-238.0,-73.0,48.0,17.0,,Income Statement
Normalzd Income Before Tax,127.0,41.0,28.0,319.0,308.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),0.0,0.0,0.0,0.0,0.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,0.0,0.0,0.0,0.0,0.0,,Income Statement
Normalized Income After Tax,127.0,41.0,28.0,319.0,308.0,,Income Statement
Normalzd Inc Avail to Common,79.0,-3.0,13.0,280.0,272.0,,Income Statement
Basic Normalized EPS,0.79,-0.03,0.13,3.23,3.33,,Income Statement
Diluted Normalized EPS,0.86,0.07,0.17,3.19,3.3,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,317.0,279.0,101.0,271.0,291.0,,Cash Flow
Depreciation/Depletion,588.0,846.0,420.0,292.0,284.0,,Cash Flow
Discontinued Operations,-14.0,,,,,,Cash Flow
Unusual Items,-176.0,-238.0,-77.0,48.0,17.0,,Cash Flow
Equity in Net Earnings/Loss,-29.0,-56.0,-38.0,-311.0,-42.0,,Cash Flow
Other Non-Cash Items,-138.0,-91.0,180.0,172.0,-61.0,,Cash Flow
Non-Cash Items,-357.0,-385.0,66.0,-91.0,-86.0,,Cash Flow
"Cash Taxes Pd, Supplemental",4.0,2.0,2.0,1.0,1.0,,Cash Flow
"Cash Interest Pd, Suppl",345.0,344.0,274.0,260.0,249.0,,Cash Flow
Accounts Receivable,-5.0,0.0,-13.0,6.0,3.0,,Cash Flow
Other Assets,-31.0,-61.0,-65.0,-52.0,-90.0,,Cash Flow
Accrued Expenses,,,,,-11.0,,Cash Flow
Payable/Accrued,9.0,-36.0,-12.0,4.0,-26.0,,Cash Flow
Changes in Working Capital,-23.0,-96.0,-44.0,-30.0,-113.0,,Cash Flow
Total Cash from Operations,526.0,644.0,543.0,442.0,376.0,,Cash Flow
Capital Expenditures,-3060.0,-452.0,-365.0,-315.0,-516.0,,Cash Flow
Sale of Fixed Assets,1217.0,2476.0,693.0,1231.0,208.0,,Cash Flow
Sale/Maturity of Investment,522.0,911.0,868.0,703.0,1092.0,,Cash Flow
"Investment, Net",-16.0,8.0,25.0,-39.0,-8.0,,Cash Flow
Purchase of Investments,-926.0,-1166.0,-1519.0,-1132.0,-737.0,,Cash Flow
Other Investing Cash Flow,-2.0,196.0,320.0,233.0,74.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",794.0,2425.0,387.0,997.0,630.0,,Cash Flow
Total Cash from Investing,-2266.0,1973.0,22.0,682.0,114.0,,Cash Flow
Financing Cash Flow Items,-172.0,-70.0,-61.0,-51.0,-55.0,,Cash Flow
Total Cash Dividends Paid,-257.0,-314.0,-334.0,-313.0,-306.0,,Cash Flow
Sale/Issuance of Common,125.0,,,,,,Cash Flow
Repurch/Retirement Common,,0.0,-806.0,-980.0,-384.0,,Cash Flow
"Common Stock, Net",125.0,0.0,-806.0,-980.0,-384.0,,Cash Flow
"Preferred Stock, Net",0.0,-3.0,0.0,-1.0,-18.0,,Cash Flow
Repurch/Retirmnt Common/Preferred,,0.0,0.0,-34.0,-27.0,,Cash Flow
Options Exercised,116.0,15.0,24.0,29.0,0.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",240.0,12.0,-783.0,-986.0,-430.0,,Cash Flow
Total Debt Issued,4389.0,1793.0,3672.0,3684.0,2063.0,,Cash Flow
Total Debt Reduction,-2487.0,-4157.0,-3179.0,-3429.0,-1800.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",1902.0,-2364.0,493.0,256.0,263.0,,Cash Flow
Total Cash From Financing,1713.0,-2736.0,-685.0,-1094.0,-529.0,,Cash Flow
Net Change in Cash,-26.0,-119.0,-120.0,29.0,-38.0,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,281.0,489.0,370.0,250.0,279.0,,Cash Flow
NetCash-EndBal/RsrvforFutUse,255.0,370.0,250.0,279.0,241.0,,Cash Flow
"Depreciation, Supplemental",588.0,846.0,420.0,292.0,284.0,,Cash Flow
Free Cash Flow,-2534.0,192.0,178.0,127.0,-140.0,,
FCF Growth,,-1.0757695343330702,-0.07291666666666663,-0.2865168539325843,-2.1023622047244093,0.0,
