,SNA
% Above Low,0.4035
% Held by Institutions,0.9695999999999999
52-Wk Range,['90.72 - 172.61']
Annual Dividend $,4.32
Annual Dividend %,0.0353
Ask,208.08
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,122.8
Bid Size,100.0
Closing Price,127.33
Day Change $,5.12
Day Change %,0.04190000000000001
Day High,127.81
Day Low,124.5
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",11.74
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.43
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.84
Prev Close,122.21
Shares Outstanding,54.4M
Short Interest,0.1241
Today's Open,124.5
Volume,322040.0
Volume 10-day Avg,657805.0
Volume Past Day,(Light)
