,2015,2016,2017,2018,2019,2020,Report
high,52.78,62.0,94.8,103.4,146.66,166.87,
low,43.46,39.26,59.04,79.14,81.03,104.9,
change,-0.0464,0.3048,0.43820000000000003,-0.0193,0.6899,0.14150000000000001,
Date,2015-10-31 00:00:00,2016-10-31 00:00:00,2017-10-31 00:00:00,2018-10-31 00:00:00,2019-10-31 00:00:00,,Balance Sheet
Cash & Equivalents,836.0,977.0,1048.0,723.0,729.0,,Balance Sheet
Short Term Investments,129.0,141.0,0.0,,,,Balance Sheet
Cash and Short Term Invs,965.0,1117.0,1048.0,723.0,729.0,,Balance Sheet
"Trade Accts Recvble, Gross",,442.0,456.0,560.0,563.0,,Balance Sheet
Prov. for Doubtful Accts,,-3.0,-5.0,-6.0,-9.0,,Balance Sheet
"Trade Accts Recvble, Net",386.0,439.0,451.0,554.0,554.0,,Balance Sheet
Other Receivables,47.0,56.0,48.0,77.0,25.0,,Balance Sheet
"Total Receivables, Net",432.0,495.0,499.0,631.0,579.0,,Balance Sheet
Total Inventory,,,,122.0,142.0,,Balance Sheet
Prepaid Expenses,65.0,100.0,118.0,63.0,283.0,,Balance Sheet
"Other Curr. Assets, Total",6.0,5.0,17.0,5.0,7.0,,Balance Sheet
Total Current Assets,1469.0,1717.0,1683.0,1544.0,1739.0,,Balance Sheet
Buildings,,205.0,222.0,252.0,343.0,,Balance Sheet
Land/Improvements,,20.0,20.0,19.0,19.0,,Balance Sheet
Machinery/Equipment,,486.0,540.0,604.0,679.0,,Balance Sheet
Other Prop./Plant/Equip.,,52.0,55.0,61.0,72.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,763.0,838.0,936.0,1113.0,,Balance Sheet
Accumulated Depreciation,,-506.0,-572.0,-627.0,-683.0,,Balance Sheet
Prop./Plant/Equip. - Net,263.0,257.0,266.0,309.0,430.0,,Balance Sheet
"Goodwill, Net",2471.0,2518.0,2707.0,3143.0,3171.0,,Balance Sheet
Intangibles - Gross,1031.0,1068.0,1166.0,1396.0,1419.0,,Balance Sheet
Accum. Intangible Amort.,-667.0,-802.0,-912.0,-1035.0,-1139.0,,Balance Sheet
Intangibles - Net,364.0,267.0,254.0,360.0,279.0,,Balance Sheet
Deferred Charges,19.0,14.0,20.0,138.0,16.0,,Balance Sheet
Def. Inc. Tax - LT Asset,274.0,282.0,244.0,404.0,390.0,,Balance Sheet
Other Long Term Assets,186.0,186.0,223.0,247.0,381.0,,Balance Sheet
Total Assets,5046.0,5240.0,5396.0,6146.0,6405.0,,Balance Sheet
Accounts Payable,10.0,14.0,20.0,85.0,20.0,,Balance Sheet
Accrued Expenses,365.0,368.0,477.0,470.0,483.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
