,SO
% Above Low,0.32049999999999995
% Held by Institutions,0.5927
52-Wk Range,['41.96 - 71.10']
Annual Dividend $,2.56
Annual Dividend %,0.0472
Ask,55.5
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,55.26
Bid Size,100.0
Closing Price,55.41
Day Change $,1.18
Day Change %,0.0218
Day High,55.64
Day Low,54.55
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.434
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,58.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.61
Prev Close,54.23
Shares Outstanding,1.1B
Short Interest,0.0118
Today's Open,54.81
Volume,4349403.0
Volume 10-day Avg,4764182.0
Volume Past Day,(Average)
