,SPG
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.0060606060606061
Growth 1yr High Est,0.07407407407407418
Growth 1yr Consensus Est,0.03400673400673404
Growth 2yr Low Est,0.05565872135994088
Growth 2yr High Est,0.070830140485313
Growth 2yr Consensus Est,0.06324443092262694
Growth 5yr Low Est,0.044388326754283836
Growth 5yr High Est,0.04032443580156886
Growth 5yr Consensus Est,0.04235638127792635
Growth 5yr Actual/Est,0.05809643986995139
Growth 3yr Historic,0.031632314371355
