,Industry,SPGI,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.92,31.08,Valuation,1.7343749999999998
Price/Sales (TTM),8.17,10.37,Valuation,1.2692778457772338
Price/Book (MRQ),82.69,,Valuation,
"PEG Ratio (TTM, GAAP)",58.12,3.74,Valuation,0.06434962147281487
Gross Profit Margin (TTM),0.46280000000000004,0.7288,Profitability,1.57476231633535
Operating Profit Margin (TTM),0.2973,0.4803,Profitability,1.615539858728557
Net Profit Margin (TTM),0.1956,0.36719999999999997,Profitability,1.8773006134969323
Annual Dividend Yield,0.0275,0.009000000000000001,Dividend,0.3272727272727273
Dividend Change %,0.1478,0.14,Dividend,0.9472259810554805
"Dividend Growth Rate, 3 Years",0.15109999999999998,0.1655,Dividend,1.095301125082727
EPS Growth (MRQ),-0.354,0.1913,Gowth rates,-0.5403954802259887
EPS Growth (TTM),0.0031,0.2848,Gowth rates,91.87096774193549
Revenue Growth (MRQ),-0.2028,0.0294,Gowth rates,-0.14497041420118342
Revenue Growth (TTM),0.0079,0.1039,Gowth rates,13.151898734177214
Return On Equity (TTM),4.6817,61.090900000000005,Effectiveness,13.048871136552963
Return On Assets (TTM),0.0592,0.2516,Effectiveness,4.25
Return On Investment (TTM),0.1151,0.483,Effectiveness,4.19635099913119
Revenue Per Employee (TTM),834195.0,307289.0,Effectiveness,0.3683659096494225
Total Debt/Total Capital (MRQ),0.4335,0.6557,Financial strength,1.5125720876585926
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0,Financial strength,0.0
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),13.18,20.84,Financial strength,1.5811836115326252
