,SRE
% Above Low,0.4117
% Held by Institutions,0.8581
52-Wk Range,['88.00 - 161.87']
Annual Dividend $,4.18
Annual Dividend %,0.0338
Ask,130.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,103.0
Bid Size,200.0
Closing Price,124.23
Day Change $,0.5
Day Change %,0.004
Day High,126.71
Day Low,122.95
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.34
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.43700000000000006
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,36.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.6
Prev Close,123.73
Short Interest,0.0179
Today's Open,125.23
Volume,1215265.0
Volume 10-day Avg,1458686.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.4233128834355828
Growth 1yr High Est,0.3416815742397139
Growth 1yr Consensus Est,0.38249722883764836
Growth 2yr Low Est,0.26840931528100975
Growth 2yr High Est,0.2161741204531903
Growth 2yr Consensus Est,0.24229171786710002
Growth 5yr Low Est,0.12158329841720386
Growth 5yr High Est,0.11736349807446156
Growth 5yr Consensus Est,0.11947339824583271
Growth 5yr Actual/Est,0.10062094623594126
Growth 3yr Historic,0.06122761631566043
Price/Earnings (TTM),19.59881
Price/Sales (TTM),3.33499
Price/Book (MRQ),2.0312
Price/Cash Flow (TTM),12.03358
5yr Low,86.72
5yr High,161.87
5yr Avg Return,0.043983333333333326
EPS Growth 5yr,0.053098599999999996
Revenue Growth 5yr,-0.0036755
Dividend Growth 5yr,0.030362399999999998
Short Int Current Month,5235051.0
Short Int Prev Month,5475969.0
Short Int Pct of Float,0.0179177
Days to Cover,3.15035
Float,292.3566
Shares Outstanding,292.5334
Institutions Holding Shares,1089.0
FCF Growth 5yr,0.5440389061518847
"Price/Earnings (TTM, GAAP)",19.6
"PEG Ratio (TTM, GAAP)",4.67
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2737
Net Profit Margin (TTM),0.1435
Annual Dividend Yield,0.0336
Dividend Change %,0.0827
"Dividend Growth Rate, 3 Years",0.086
EPS Growth (MRQ),0.6631999999999999
EPS Growth (TTM),1.004
Revenue Growth (MRQ),0.0129
Revenue Growth (TTM),0.0449
Return On Equity (TTM),0.11470000000000001
Return On Assets (TTM),0.024100000000000003
Return On Investment (TTM),0.0298
Revenue Per Employee (TTM),780085.0
Total Debt/Total Capital (MRQ),0.5589000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),2.64
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,5
theStreet,buy
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-18 00:00:00
theStreet since,2020-05-05 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
