,STE
% Below High,0.12269999999999999
% Held by Institutions,0.8939
52-Wk Range,['105.69 - 168.98']
Annual Dividend $,1.48
Annual Dividend %,0.0103
Ask,170.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,125.0
Bid Size,100.0
Closing Price,148.25
Day Change $,4.39
Day Change %,0.0305
Day High,148.78
Day Low,145.24
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",4.59
Ex-dividend,2020-02-24 00:00:00
Ex-dividend Date,02/24/20
Historical Volatility,0.36600000000000005
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,12.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",32.28
Prev Close,143.86
Short Interest,0.020499999999999997
Today's Open,146.5
Volume,644653.0
Volume 10-day Avg,626775.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-13 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.1386554621848739
Growth 1yr High Est,0.1708333333333334
Growth 1yr Consensus Est,0.15474439775910365
Growth 2yr Low Est,-0.010930571490588903
Growth 2yr High Est,0.14057680901542113
Growth 2yr Consensus Est,0.06482311876241612
Growth 5yr Low Est,0.061775129852785354
Growth 5yr High Est,0.13614347697147866
Growth 5yr Consensus Est,0.09895930341213201
Growth 5yr Actual/Est,0.10148393047189189
Growth 3yr Historic,0.07050916431684179
Price/Earnings (TTM),32.28019
Price/Sales (TTM),4.22482
Price/Book (MRQ),3.71607
Price/Cash Flow (TTM),21.31037
5yr Low,60.75
5yr High,168.98
5yr Avg Return,0.15555000000000002
EPS Growth 5yr,0.1042666
Revenue Growth 5yr,0.1139176
Dividend Growth 5yr,0.1015585
Short Int Current Month,1719400.0
Short Int Prev Month,1216415.0
Short Int Pct of Float,0.0204698
Days to Cover,2.17421
Float,83.81012
Shares Outstanding,84.81312
Institutions Holding Shares,771.0
FCF Growth 5yr,0.2217697193141932
"Price/Earnings (TTM, GAAP)",32.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4336
Operating Profit Margin (TTM),0.1748
Net Profit Margin (TTM),0.1322
Annual Dividend Yield,0.01
Dividend Change %,0.0992
"Dividend Growth Rate, 3 Years",0.1072
EPS Growth (MRQ),0.1081
EPS Growth (TTM),0.4244
Revenue Growth (MRQ),0.050800000000000005
Revenue Growth (TTM),0.0902
Return On Equity (TTM),0.12119999999999999
Return On Assets (TTM),0.0761
Return On Investment (TTM),0.08310000000000001
Revenue Per Employee (TTM),248010.0
Total Debt/Total Capital (MRQ),0.25079999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.78
Interest Coverage (MRQ),16.7
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromlong
marketEdge,-2
theStreet,buy
ford,3
cfra,
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-12-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2015-11-08 00:00:00
ford since,2019-12-13 00:00:00
cfra since,
creditSuisse since,
