,STE
% Below High,0.12269999999999999
% Held by Institutions,0.8939
52-Wk Range,['105.69 - 168.98']
Annual Dividend $,1.48
Annual Dividend %,0.0103
Ask,170.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,125.0
Bid Size,100.0
Closing Price,148.25
Day Change $,4.39
Day Change %,0.0305
Day High,148.78
Day Low,145.24
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",4.59
Ex-dividend,2020-02-24 00:00:00
Ex-dividend Date,02/24/20
Historical Volatility,0.36600000000000005
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,12.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",32.28
Prev Close,143.86
Shares Outstanding,84.8M
Short Interest,0.020499999999999997
Today's Open,146.5
Volume,644653.0
Volume 10-day Avg,626775.0
Volume Past Day,(Average)
