,SWKS
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.10099337748344372
Growth 1yr High Est,-0.008103727714748765
Growth 1yr Consensus Est,-0.054548552599096245
Growth 2yr Low Est,-0.08088342907321361
Growth 2yr High Est,0.12421610999883476
Growth 2yr Consensus Est,0.021666340462810574
Growth 5yr Low Est,-0.04780202016724336
Growth 5yr High Est,0.05353214266831835
Growth 5yr Consensus Est,0.0028650612505374956
Growth 5yr Actual/Est,0.013577931581893493
Growth 3yr Historic,-0.00651237947991154
