,SWKS
Price/Earnings (TTM),23.88597
Price/Sales (TTM),5.69781
Price/Book (MRQ),4.4968
Price/Cash Flow (TTM),15.85126
5yr Low,54.5
5yr High,128.48
5yr Avg Return,0.08146666666666669
EPS Growth 5yr,0.1575164
Revenue Growth 5yr,0.0806302
Dividend Growth 5yr,0.4833611
Short Int Current Month,4196867.0
Short Int Prev Month,3923693.0
Short Int Pct of Float,0.024837099999999997
Days to Cover,1.90113
Float,163.5224
Shares Outstanding,166.8359
Institutions Holding Shares,1052.0
% Held by Institutions,0.820246
FCF Growth 5yr,0.14630148274512633
