,SYK
% Below High,0.1512
% Held by Institutions,0.7412000000000001
52-Wk Range,['124.54 - 226.30']
Annual Dividend $,2.3
Annual Dividend %,0.012
Ask,192.66
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,191.51
Bid Size,300.0
Closing Price,192.08
Day Change $,-0.11
Day Change %,-0.0006
Day High,196.32
Day Low,191.43
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.446
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,72.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.73
Prev Close,192.19
Short Interest,0.0123
Today's Open,194.39
Volume,1991342.0
Volume 10-day Avg,1783569.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.43239951278928146
Growth 1yr High Est,-0.06060606060606055
Growth 1yr Consensus Est,-0.246502786697671
Growth 2yr Low Est,0.14216934231780565
Growth 2yr High Est,0.08776148582600196
Growth 2yr Consensus Est,0.1149654140719038
Growth 5yr Low Est,0.1351958713727494
Growth 5yr High Est,0.1071817188810984
Growth 5yr Consensus Est,0.1211887951269239
Growth 5yr Actual/Est,0.1037103584870164
Growth 3yr Historic,0.06407679709286512
Price/Earnings (TTM),33.72517
Price/Sales (TTM),4.82099
Price/Book (MRQ),5.49773
Price/Cash Flow (TTM),24.44159
5yr Low,86.68
5yr High,226.3
5yr Avg Return,0.14048333333333335
EPS Growth 5yr,0.3244541
Revenue Growth 5yr,0.089968
Dividend Growth 5yr,0.1126042
Short Int Current Month,4238340.0
Short Int Prev Month,4535804.0
Short Int Pct of Float,0.012282900000000001
Days to Cover,1.78996
Float,346.9144
Shares Outstanding,375.3785
Institutions Holding Shares,1801.0
FCF Growth 5yr,0.31118742235277963
"Price/Earnings (TTM, GAAP)",33.73
"PEG Ratio (TTM, GAAP)",6.05
Gross Profit Margin (TTM),0.6573000000000001
Operating Profit Margin (TTM),0.1886
Net Profit Margin (TTM),0.14470000000000002
Annual Dividend Yield,0.012
Dividend Change %,0.10640000000000001
"Dividend Growth Rate, 3 Years",0.11019999999999999
EPS Growth (MRQ),-0.3191
EPS Growth (TTM),0.1023
Revenue Growth (MRQ),-0.13140000000000002
Revenue Growth (TTM),0.07780000000000001
Return On Equity (TTM),0.1745
Return On Assets (TTM),0.0782
Return On Investment (TTM),0.0911
Revenue Per Employee (TTM),373900.0
Total Debt/Total Capital (MRQ),0.4448
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,5
theStreet,buy
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-07 00:00:00
theStreet since,2014-01-22 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2018-12-17 00:00:00
